uniname,zipcode,address,latitude,longitude,distance
동서대학교,47011,부산광역시 사상구 주례로 47 ,35.1449821,129.0084500,322.7442210969948
동서대학교,48058,부산 해운대구 센텀중앙로 55 ,35.1732548,129.1278505,326.32202018530336
동신대학교,58245,전라남도 나주시 동신대길 67 ,35.0496249,126.7179925,278.6416926905662
동아대학교,49201,부산 서구 대신공원로 32 ,35.1207570,129.0187250,325.5019457286501
동아대학교,49315,부산광역시 사하구 낙동대로550번길 37 ,35.1161349,128.9675077,323.3814996017778
동양대학교,36040,경상북도 영주시 풍기읍 동양대로 145 ,36.8818808,128.5335281,155.97715414482073
동의대학교,47340,부산광역시 부산진구 엄광로 176 ,35.1418304,129.0346150,324.3593548451371
루터대학교,17072,경기도 용인시 기흥구 금화로82번길 20 ,37.2647653,127.1128925,33.64825861052987
명지대학교,3674,서울특별시 서대문구 거북골로 34 ,37.5805970,126.9230255,6.62193712775534
명지대학교,17058,경기도 용인시 처인구 명지로 116 ,37.2217101,127.1856568,40.53013817171762
목원대학교,35349,대전광역시 서구 도안북로 88 ,36.3261041,127.3386258,139.4904453783594
목포가톨릭대학교,58607,전라남도 목포시 영산로 697 ,34.8268917,126.4195875,306.5873030531912
목포대학교,58554,전라남도 무안군 청계면 영산로 1666 ,34.9103065,126.4402102,297.14964880370155
목포해양대학교,58628,전라남도 목포시 해양대학로 91 ,34.7917765,126.3650530,311.27658584399006
배재대학교,35345,대전광역시 서구 배재로 155-40 ,36.3202020,127.3652283,140.6759578568432
백석대학교,31065,충청남도 천안시 동남구 백석대학로 1 ,36.8388372,127.1825206,80.91557677397492
부경대학교,48513,부산광역시 남구 용소로 45 ,35.1335487,129.1059875,328.78365575616726
부산가톨릭대학교,46252,부산광역시 금정구 오륜대로 57 ,35.2447040,129.0975492,318.27195300126976
부산교육대학교,47503,부산광역시 연제구 교대로 24 ,35.1964877,129.0741436,321.39556700601224
부산대학교,46241,부산광역시 금정구 부산대학로63번길 2 ,35.2333798,129.0798453,318.35270042860714
부산외국어대학교,46234,부산광역시 금정구 금샘로485번길 65 ,35.2670500,129.0790500,315.2765144741907
부산장신대학교,50883,경상남도 김해시 김해대로 1894-68 ,35.2577406,128.8615246,304.9469789347054
삼육대학교,1795,서울특별시 노원구 화랑로 815 ,37.6429794,127.1042695,14.45172225375737
상명대학교,3016,서울특별시 종로구 홍지문2길 20 ,37.6027666,126.9551533,6.428919897749933
상명대학교,31066,충청남도 천안시 동남구 상명대길 31 ,36.8334726,127.1791304,81.4342717836157
상지대학교,26339,강원특별자치도 원주시 상지대길 83 ,37.3697534,127.9300762,85.7249882008191
서강대학교,4107,서울특별시 마포구 백범로 35 ,37.5517132,126.9410634,4.168037227053374
서경대학교,2713,서울특별시 성북구 서경로 124 ,37.6150457,127.0133575,7.428952692073253
서울과학기술대학교,1811,서울특별시 노원구 공릉로 232 ,37.6316217,127.0783723,11.963162791858084
서울교육대학교,6639,서울특별시 서초구 서초중앙로 96 ,37.4903779,127.0168607,7.206237532816934
서울기독대학교,3422,서울특별시 은평구 갈현로4길 26-2 ,37.6006340,126.9126540,8.64331910366056
서울대학교,8826,서울특별시 관악구 관악로 1 ,37.4640070,126.9522394,10.183718451575883
서울대학교,3080,서울 종로구 대학로 103,37.5808572,127.0004228,3.4667337371704066
서울시립대학교,2504,서울특별시 동대문구 서울시립대로 163 ,37.5836390,127.0588564,7.205735630107919
서울신학대학교,14754,경기도 부천시 소사구 호현로489번길 52 ,37.4795020,126.7889548,19.329540912557853
서울여자대학교,1797,서울특별시 노원구 화랑로 621 ,37.6280329,127.0904235,12.419595530351355
서울장신대학교,12749,경기도 광주시 경안로 145 ,37.4100211,127.2462171,27.678605317178892
서울한영대학교,8274,서울특별시 구로구 경인로 290-42 ,37.4964113,126.8515463,13.524604120401142
서원대학교,28674,충청북도 청주시 서원구 무심서로 377-3 ,36.6245008,127.4810766,111.78659132037315
선문대학교,31460,충청남도 아산시 탕정면 선문로221번길 70 ,36.7991470,127.0749055,83.81432133230727
성결대학교,14097,경기도 안양시 만안구 성결대학로 53 ,37.3799000,126.9266623,19.773396130663627
성공회대학교,8359,서울특별시 구로구 연동로 320 ,37.4877974,126.8255598,16.00808900513552
성균관대학교,3063,서울특별시 종로구 성균관로 25-2 ,37.5879535,126.9921594,4.09740476425215
성신여자대학교,2844,서울특별시 성북구 보문로34다길 2 ,37.5915171,127.0228833,5.424692112061979
성신여자대학교,1133,서울 강북구 도봉로76가길 55,37.6322547,127.0275733,9.64718262183442
세명대학교,27136,충청북도 제천시 세명로 65 ,37.1810510,128.1968370,114.67101948414556
세종대학교,5006,서울특별시 광진구 능동로 209 ,37.5514706,127.0738840,7.569145222046649
세한대학교,58447,전라남도 영암군 삼호읍 녹색로 1113 ,34.7509384,126.4863441,313.9825179709461
송원대학교,61756,광주광역시 남구 송암로 73 ,35.1091923,126.8740705,271.168098307669
수원가톨릭대학교,18332,경기도 화성시 봉담읍 왕림1길 67 ,37.1946126,126.9341701,39.86090114547401
수원대학교,18323,경기도 화성시 봉담읍 와우안길 17 ,37.2087424,126.9765717,38.0181567973118
숙명여자대학교,4310,서울특별시 용산구 청파로47길 90 ,37.5452929,126.9654298,2.1174906387944445
순천대학교,57922,전라남도 순천시 중앙로 255 ,34.9689184,127.4809015,289.935527168585
순천향대학교,31538,충청남도 아산시 신창면 순천향로 22 ,36.7700865,126.9323380,86.82707671044102
순천향대학교,31151,충남 천안시 동남구 순천향6길 31,36.8027381,127.1358588,84.08985482160686
숭실대학교,6978,서울특별시 동작구 상도로 369 ,37.4966895,126.9575041,6.628450110417809
신라대학교,46958,부산광역시 사상구 백양대로700번길 140 ,35.1682792,128.9977086,320.0503178599714
신한대학교,11340,경기도 동두천시 벌마들로40번길 30 ,37.9041540,127.0361651,39.40553904972145
신한대학교,11644,경기도 의정부시 호암로 95 ,37.7100953,127.0449589,18.336236083162444
아신대학교,12508,경기도 양평군 옥천면 경강로 1276 ,37.5111175,127.4282043,39.142218489514235
아주대학교,16499,경기도 수원시 영통구 월드컵로 206 ,37.2833808,127.0460720,30.158492359421423
안동대학교,36729,경상북도 안동시 경동로 1375 ,36.5422432,128.7971386,196.03149832080305
안양대학교,14028,경기도 안양시 만안구 삼덕로37번길 22 ,37.3912403,126.9197909,18.753892450455933
연세대학교,3722,서울특별시 서대문구 연세로 50 ,37.5671131,126.9390292,4.693301485136927
연세대학교,26493,강원특별자치도 원주시 흥업면 연세대길 1 ,37.2808750,127.9010000,86.1911130021441
영남대학교,38541,경상북도 경산시 대학로 280 ,35.8325351,128.7575093,247.73044117099843
영남신학대학교,38451,경상북도 경산시 진량읍 봉회1길 26 ,35.8803964,128.8180666,247.17800868030244
영산대학교,48015,부산광역시 해운대구 반송순환로 142 ,35.2239338,129.1574820,323.34881671696763
영산대학교,50510,경상남도 양산시 주남로 288 ,35.4286096,129.1461250,304.7132665559838
영산선학대학교,57026,전라남도 영광군 백수읍 성지로 1357 ,35.3273523,126.4413400,251.5936522132803
예수대학교,54989,전라북도 전주시 완산구 서원로 383 ,35.8155750,127.1351375,193.04888099900634
예원예술대학교,55913,전라북도 임실군 신평면 창인로 117 ,35.6467719,127.2703758,212.83350863173135
용인대학교,17092,경기도 용인시 처인구 용인대학로 134 ,37.2270152,127.1678561,39.336052335244325
우석대학교,55338,전라북도 완주군 삼례읍 삼례로 443 ,35.9127996,127.0659877,181.9467941835055
우송대학교,34606,대전광역시 동구 동대전로 171 ,36.3375527,127.4453669,140.7035853410433
울산과학기술원,44919,울산광역시 울주군 언양읍 유니스트길 50 ,35.5749100,129.1892066,294.7925893087405
울산대학교,44610,울산광역시 남구 대학로 93 ,35.5437482,129.2561333,301.40206313963785
원광대학교,54538,전라북도 익산시 익산대로 460 ,35.9678300,126.9557171,175.7321070963631
위덕대학교,38004,경상북도 경주시 강동면 동해대로 261 ,36.0126541,129.2837978,266.7049399714736
유원대학교,29131,충청북도 영동군 영동읍 대학로 310 ,36.1954376,127.7979886,166.87666956917903
을지대학교,11759,경기도 의정부시 동일로 712 ,37.7518185,127.0506997,22.942295034385165
을지대학교,13135,경기도 성남시 수정구 산성대로 553 ,37.4611948,127.1653979,18.577289819598885
이화여자대학교,7804,서울 강서구 마곡동로2길 25 ,37.5562461,126.8361756,13.447386805961356
이화여자대학교,3760,서울특별시 서대문구 이화여대길 52 ,37.5617396,126.9472448,3.806451411813547
인제대학교,50834,경상남도 김해시 인제로 197 ,35.2487277,128.9026673,307.830040185413
인천가톨릭대학교,23058,인천광역시 강화군 양도면 고려왕릉로 53-1 ,37.6575487,126.4477375,49.165117378613566
인천가톨릭대학교,21987,인천광역시 연수구 송도문화로120번길 20 ,37.3726233,126.6635086,34.89945026562388
인천대학교,22012,인천광역시 연수구 아카데미로 119 ,37.3754977,126.6332532,36.964159312951274
인하대학교,22212,인천광역시 미추홀구 인하로 100,37.4507292,126.6538126,31.601775994212176
장로회신학대학교,4965,서울특별시 광진구 광장로5길 25-1 ,37.5498569,127.1032818,10.167956723632834
전남대학교,61186,광주광역시 북구 용봉로 45 ,35.1735350,126.9024000,263.94839319560225
전남대학교,59626,전라남도 여수시 대학로 50 ,34.7743417,127.6993875,314.69346250154257
전북대학교,54596,전북 익산시 고봉로 79,35.9426186,126.9588848,178.52477417676874
전북대학교,54896,전라북도 전주시 덕진구 백제대로 567 ,35.8462574,127.1320049,189.6331669637669
전주교육대학교,55101,전라북도 전주시 완산구 서학로 50 ,35.8087125,127.1551917,193.93826548045703
전주대학교,55069,전라북도 전주시 완산구 천잠로 303 ,35.8141581,127.0901464,192.97419436394526
제주국제대학교,63309,제주특별자치도 제주시 516로 2870 ,33.4404296,126.5703877,457.65720099415705
제주대학교,63243,제주특별자치도 제주시 제주대학로 102 ,33.4559020,126.5623921,456.007562839624
조선대학교,61452,광주광역시 동구 조선대길 146,35.1427410,126.9347238,267.2955420104735
중부대학교,32713,충청남도 금산군 추부면 대학로 201 ,36.1929411,127.4501711,156.25495273434478
중앙대학교,6974,서울특별시 동작구 흑석로 84 ,37.5048875,126.9573779,5.815579461346009
중앙대학교,17546,경기도 안성시 대덕면 서동대로 4726 ,37.0051163,127.2301841,64.28927709794941
중앙승가대학교,10118,경기도 김포시 승가로 147 ,37.6090745,126.7064390,25.70690120671665
중원대학교,28024,충청북도 괴산군 괴산읍 문무로 85 ,36.8195441,127.7991125,108.52208993884935
진주교육대학교,52673,경상남도 진주시 진양호로369번길 3 ,35.1863618,128.0670038,279.69529517605525
차의과학대학교,11160,경기도 포천시 해룡로 120 ,37.8579006,127.1377673,36.50915389785291
창신대학교,51352,경상남도 창원시 마산회원구 팔용로 262 ,35.2442062,128.5996750,293.97900940765226
창원대학교,51140,경상남도 창원시 의창구 창원대학로 20 ,35.2457210,128.6929375,298.0354344243687
청주교육대학교,28690,충청북도 청주시 서원구 청남로 2065 ,36.6164054,127.4850572,112.7526869580527
청주대학교,27739,충청북도 음성군 맹동면 두성리 1040-2,36.9151142,127.5541176,86.62952165197645
청주대학교,28503,충청북도 청주시 청원구 대성로 298 ,36.6531853,127.4957084,109.39191948897889
초당대학교,58530,전라남도 무안군 무안읍 무안로 380 ,34.9776261,126.4735349,289.29007765198264
총신대학교,6988,서울특별시 동작구 사당로 143 ,37.4892845,126.9669811,7.120565755801554
추계예술대학교,3762,서울특별시 서대문구 북아현로11가길 7 ,37.5630397,126.9536152,3.3299554925325707
춘천교육대학교,24328,강원특별자치도 춘천시 공지로 126 ,37.8592511,127.7475533,75.18498677336153
충남대학교,34134,대전광역시 유성구 대학로 99 ,36.3666380,127.3457442,135.2563171331494
충북대학교,28644,충청북도 청주시 서원구 충대로 1 ,36.6300483,127.4550701,110.32949877549365
칼빈대학교,16911,경기도 용인시 기흥구 마북로 184 ,37.3047175,127.1278667,30.015363331951214
평택대학교,17869,경기도 평택시 서동대로 3825 ,36.9952846,127.1334625,63.02398201716833
포항공과대학교,37673,경상북도 포항시 남구 청암로 77 ,36.0105883,129.3213012,269.43246017101904
한국과학기술원,34141,대전광역시 유성구 대학로 291 ,36.3717787,127.3608437,135.02585902256214
한국과학기술원,38610,서울 동대문구 회기로 85,37.5935592,127.0464611,6.9713851471320005
한국교원대학교,28173,충청북도 청주시 흥덕구 강내면 태성탑연로 250 ,36.6109885,127.3588709,109.42119377487916
한국교통대학교,27909,충북 증평군 증평읍 대학로 61,36.7700000,127.6246125,103.49419436774944
한국교통대학교,27469,충청북도 충주시 대소원면 대학로 50 ,36.9696921,127.8722520,101.55794055251823
한국기술교육대학교,31253,충청남도 천안시 동남구 병천면 충절로 1600 ,36.7637515,127.2819829,91.20046598878331
한국성서대학교,1757,서울특별시 노원구 동일로214길 32 ,37.6487780,127.0643529,12.749777633077242
한국외국어대학교,2450,서울특별시 동대문구 이문로 107 ,37.5973078,127.0582878,8.032887914911196
한국외국어대학교,17035,경기 용인시 처인구 모현읍 외대로 81,37.3363361,127.2656233,34.220989176583174
한국전통문화대학교,33115,충청남도 부여군 규암면 백제문로 367 ,36.3083816,126.8970588,138.15894160627485
한국체육대학교,5541,서울특별시 송파구 양재대로 1239 ,37.5198884,127.1308626,13.075947780588274
한국침례신학대학교,34098,대전광역시 유성구 북유성대로 190 ,36.3857325,127.3262805,132.79344917020896
한국항공대학교,10540,경기도 고양시 덕양구 항공대학로 76 ,37.5997399,126.8644887,12.187644873536236
한국해양대학교,49112,부산광역시 영도구 태종로 727 ,35.0763580,129.0892004,333.16382177735454
한남대학교,34054,대전 유성구 유성대로 1646,36.3991025,127.3912765,132.79393485025972
한남대학교,34430,대전광역시 대덕구 한남로 70 ,36.3541173,127.4217991,138.34337859793706
한동대학교,37554,경상북도 포항시 북구 흥해읍 한동로 558 ,36.1036575,129.3881109,267.64494173065845
한라대학교,26404,강원특별자치도 원주시 흥업면 한라대길 28 ,37.3029920,127.9074880,85.90032531494869
한림대학교,24252,강원특별자치도 춘천시 한림대학길 1 ,37.8872151,127.7382499,75.9199689711261
한밭대학교,34158,대전광역시 유성구 동서대로 125 ,36.3520635,127.3014114,135.96475864998254
한서대학교,31962,충청남도 서산시 해미면 한서1로 46 ,36.6906314,126.5835864,102.04805383383288
한서대학교,32158,충남 태안군 남면 곰섬로 236-49,36.5945073,126.2939449,122.81503237060623
한성대학교,2876,서울특별시 성북구 삼선교로16길 116 ,37.5825084,127.0102929,3.98734976914678
한세대학교,15852,경기도 군포시 한세로 30 ,37.3465782,126.9528801,22.92112613332486
한신대학교,18101,경기도 오산시 한신대길 137 ,37.1939449,127.0234105,39.768679856575275
한양대학교,4763,서울특별시 성동구 왕십리로 222 ,37.5575753,127.0466899,5.21455962272363
한양대학교,15588,경기도 안산시 상록구 한양대학로 55 ,37.2954261,126.8353162,31.445743984995502
한일장신대학교,55359,전라북도 완주군 상관면 왜목로 726-15 ,35.7637500,127.2063750,199.3085884362259
협성대학교,18330,경기도 화성시 봉담읍 최루백로 72 ,37.2132877,126.9526872,37.63155807001825
호남대학교,62399,광주광역시 광산구 호남대길 120 ,35.1499741,126.7650485,267.20169296630564
호남신학대학교,61642,광주광역시 남구 제중로 77 ,35.1404125,126.9114762,267.59941231719733
호서대학교,31702,충남 당진시 석문면 산단7로 201,37.0031151,126.5840922,70.59908523766545
호서대학교,31499,충청남도 아산시 배방읍 호서로79번길 20 ,36.7363588,127.0750254,90.7561156498742
호서대학교,31066,충남 천안시 동남구 호서대길 12,36.8285470,127.1827814,82.03675430391411
홍익대학교,4066,서울특별시 마포구 와우산로 94 ,37.5512242,126.9255396,5.5393776692092835
홍익대학교,30016,세종특별자치시 조치원읍 세종로 2639 ,36.6206133,127.2857975,106.60740101615028
화성의과학대학교,18274,경기도 화성시 남양읍 남양중앙로 400-5 ,37.2027514,126.8395132,40.850755785703114
