uniname,zipcode,branch,branchdtl,school,schooldtl,address
서울시립대학교,2504,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 동대문구 서울시립대로 163 
서울신학대학교,14754,본교,본교(제1캠퍼스),4년제,대학교,경기도 부천시 소사구 호현로489번길 52 
서울여자대학교,1797,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 노원구 화랑로 621 
서울장신대학교,12749,본교,본교(제1캠퍼스),4년제,대학교,경기도 광주시 경안로 145 
서울한영대학교,8274,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 구로구 경인로 290-42 
서원대학교,28674,본교,본교(제1캠퍼스),4년제,대학교,충청북도 청주시 서원구 무심서로 377-3 
선문대학교,31460,본교,본교(제1캠퍼스),4년제,대학교,충청남도 아산시 탕정면 선문로221번길 70 
성결대학교,14097,본교,본교(제1캠퍼스),4년제,대학교,경기도 안양시 만안구 성결대학로 53 
성공회대학교,8359,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 구로구 연동로 320 
성균관대학교,3063,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 종로구 성균관로 25-2 
성신여자대학교,2844,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 성북구 보문로34다길 2 
성신여자대학교,1133,캠퍼스,본교(제2캠퍼스),4년제,대학교,서울 강북구 도봉로76가길 55
세명대학교,27136,본교,본교(제1캠퍼스),4년제,대학교,충청북도 제천시 세명로 65 
세종대학교,5006,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 광진구 능동로 209 
세한대학교,58447,본교,본교(제1캠퍼스),4년제,대학교,전라남도 영암군 삼호읍 녹색로 1113 
송원대학교,61756,본교,본교(제1캠퍼스),4년제,대학교,광주광역시 남구 송암로 73 
수원가톨릭대학교,18332,본교,본교(제1캠퍼스),4년제,대학교,경기도 화성시 봉담읍 왕림1길 67 
수원대학교,18323,본교,본교(제1캠퍼스),4년제,대학교,경기도 화성시 봉담읍 와우안길 17 
숙명여자대학교,4310,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 용산구 청파로47길 90 
순천대학교,57922,본교,본교(제1캠퍼스),4년제,대학교,전라남도 순천시 중앙로 255 
순천향대학교,31538,본교,본교(제1캠퍼스),4년제,대학교,충청남도 아산시 신창면 순천향로 22 
순천향대학교,31151,캠퍼스,본교(제2캠퍼스),4년제,대학교,충남 천안시 동남구 순천향6길 31
숭실대학교,6978,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 동작구 상도로 369 
신라대학교,46958,본교,본교(제1캠퍼스),4년제,대학교,부산광역시 사상구 백양대로700번길 140 
신한대학교,11340,본교,본교(제1캠퍼스),4년제,대학교,경기도 동두천시 벌마들로40번길 30 
신한대학교,11644,캠퍼스,본교(제2캠퍼스),4년제,대학교,경기도 의정부시 호암로 95 
아신대학교,12508,본교,본교(제1캠퍼스),4년제,대학교,경기도 양평군 옥천면 경강로 1276 
아주대학교,16499,본교,본교(제1캠퍼스),4년제,대학교,경기도 수원시 영통구 월드컵로 206 
안동대학교,36729,본교,본교(제1캠퍼스),4년제,대학교,경상북도 안동시 경동로 1375 
안양대학교,14028,본교,본교(제1캠퍼스),4년제,대학교,경기도 안양시 만안구 삼덕로37번길 22 
연세대학교,3722,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 서대문구 연세로 50 
연세대학교,26493,분교,분교(제1캠퍼스),4년제,대학교,강원특별자치도 원주시 흥업면 연세대길 1 
영남대학교,38541,본교,본교(제1캠퍼스),4년제,대학교,경상북도 경산시 대학로 280 
영남신학대학교,38451,본교,본교(제1캠퍼스),4년제,대학교,경상북도 경산시 진량읍 봉회1길 26 
영산대학교,48015,캠퍼스,본교(제2캠퍼스),4년제,대학교,부산광역시 해운대구 반송순환로 142 
영산대학교,50510,본교,본교(제1캠퍼스),4년제,대학교,경상남도 양산시 주남로 288 
영산선학대학교,57026,본교,본교(제1캠퍼스),4년제,대학교,전라남도 영광군 백수읍 성지로 1357 
예수대학교,54989,본교,본교(제1캠퍼스),4년제,대학교,전라북도 전주시 완산구 서원로 383 
예원예술대학교,55913,본교,본교(제1캠퍼스),4년제,대학교,전라북도 임실군 신평면 창인로 117 
용인대학교,17092,본교,본교(제1캠퍼스),4년제,대학교,경기도 용인시 처인구 용인대학로 134 
우석대학교,55338,본교,본교(제1캠퍼스),4년제,대학교,전라북도 완주군 삼례읍 삼례로 443 
우송대학교,34606,본교,본교(제1캠퍼스),4년제,대학교,대전광역시 동구 동대전로 171 
울산과학기술원,44919,본교,본교(제1캠퍼스),4년제,대학교,울산광역시 울주군 언양읍 유니스트길 50 
울산대학교,44610,본교,본교(제1캠퍼스),4년제,대학교,울산광역시 남구 대학로 93 
원광대학교,54538,본교,본교(제1캠퍼스),4년제,대학교,전라북도 익산시 익산대로 460 
위덕대학교,38004,본교,본교(제1캠퍼스),4년제,대학교,경상북도 경주시 강동면 동해대로 261 
유원대학교,29131,본교,본교(제1캠퍼스),4년제,대학교,충청북도 영동군 영동읍 대학로 310 
을지대학교,11759,캠퍼스,본교(제3캠퍼스),4년제,대학교,경기도 의정부시 동일로 712 
을지대학교,13135,캠퍼스,본교(제2캠퍼스),4년제,대학교,경기도 성남시 수정구 산성대로 553 
이화여자대학교,7804,캠퍼스,본교(제2캠퍼스),4년제,대학교,서울 강서구 마곡동로2길 25 
이화여자대학교,3760,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 서대문구 이화여대길 52 
인제대학교,50834,본교,본교(제1캠퍼스),4년제,대학교,경상남도 김해시 인제로 197 
