unicode,uniname,branch,address,latitude,longitude,distance
0000076,광주여자대학교,본교,광주광역시 광산구 광주여대길 40,35.1631288,126.7963105,265.5495793869223
0000078,국민대학교,본교,서울특별시 성북구 정릉로 77,37.6108107,126.9969024,6.663753250449271
0000079,강서대학교,본교,서울특별시 강서구 까치산로24길 47,37.5486642,126.8548188,11.792098519017369
0000080,극동대학교,본교,충청북도 음성군 감곡면 대학길 76-32,37.1275842,127.6430234,74.67817457449867
0000081,나사렛대학교,본교,충청남도 천안시 서북구 월봉로 48,36.7962396,127.1195830,84.59095059122144
0000082,단국대학교,본교,경기도 용인시 수지구 죽전로 152,37.3207278,127.1276811,28.39782871478892
0000084,대구대학교,본교,경상북도 경산시 진량읍 대구대로 201,35.9010490,128.8491000,247.30383208938073
0000087,대구예술대학교,본교,경상북도 칠곡군 가산면 다부거문1길 202,36.0333405,128.5104925,216.39857680145283
0000088,대구가톨릭대학교,본교,경상북도 경산시 하양읍 하양로 13-13,35.9108879,128.8077811,244.01647754840494
0000092,세한대학교,본교,전라남도 영암군 삼호읍 녹색로 1113,34.7509384,126.4863441,313.9825179709461
0000093,대신대학교,본교,경상북도 경산시 경청로222길 33,35.8038667,128.7441875,249.45502158104028
0000094,대전가톨릭대학교,본교,세종특별자치시 전의면 가톨릭대학로 30,36.6549910,127.1967813,101.170398846064
0000095,대전대학교,본교,대전광역시 동구 대학로 62,36.3343597,127.4606466,141.44194477646658
0000097,대진대학교,본교,경기도 포천시 호국로 1007,37.8734346,127.1573986,38.75430479030884
0000098,서울기독대학교,본교,서울특별시 은평구 갈현로4길 26-2,37.6006340,126.9126540,8.64331910366056
0000099,덕성여자대학교,본교,서울특별시 도봉구 삼양로144길 33,37.6515354,127.0166028,11.417906345199896
0000100,동국대학교,본교,서울특별시 중구 필동로1길 30,37.5582582,127.0001869,1.3175279299159077
0000101,동국대학교(WISE),분교,경상북도 경주시 동대로 123,35.8636659,129.1946221,271.89224789456273
0000102,동덕여자대학교,본교,서울특별시 성북구 화랑로13길 60,37.6068369,127.0419803,7.792222703379657
0000103,동서대학교,본교,부산광역시 사상구 주례로 47,35.1449821,129.0084500,322.7442210969948
0000104,동신대학교,본교,전라남도 나주시 동신대길 67,35.0496249,126.7179925,278.6416926905662
0000105,동아대학교,본교,부산광역시 사하구 낙동대로550번길 37,35.1161349,128.9675077,323.3814996017778
0000106,동양대학교,본교,경상북도 영주시 풍기읍 동양대로 145,36.8818808,128.5335281,155.97715414482073
0000107,동의대학교,본교,부산광역시 부산진구 엄광로 176,35.1418304,129.0346150,324.3593548451371
0000108,루터대학교,본교,경기도 용인시 기흥구 금화로82번길 20,37.2647653,127.1128925,33.64825861052987
0000109,명지대학교,본교,경기도 용인시 처인구 명지로 116,37.2217101,127.1856568,40.53013817171762
0000111,명지대학교,제2캠퍼스,서울특별시 서대문구 거북골로 34,37.5805970,126.9230255,6.62193712775534
0000112,목원대학교,본교,대전광역시 서구 도안북로 88,36.3261041,127.3386258,139.4904453783594
0000113,배재대학교,본교,대전광역시 서구 배재로 155-40,36.3202020,127.3652283,140.6759578568432
0000114,부산가톨릭대학교,본교,부산광역시 금정구 오륜대로 57,35.2447040,129.0975492,318.27195300126976
0000115,부산외국어대학교,본교,부산광역시 금정구 금샘로485번길 65,35.2670500,129.0790500,315.2765144741907
0000116,삼육대학교,본교,서울특별시 노원구 화랑로 815,37.6429794,127.1042695,14.45172225375737
0000117,상명대학교,본교,서울특별시 종로구 홍지문2길 20,37.6027666,126.9551533,6.428919897749933
0000119,상지대학교,본교,강원특별자치도 원주시 상지대길 83,37.3697534,127.9300762,85.7249882008191
0000120,서강대학교,본교,서울특별시 마포구 백범로 35,37.5517132,126.9410634,4.168037227053374
0000121,서경대학교,본교,서울특별시 성북구 서경로 124,37.6150457,127.0133575,7.428952692073253
0000125,서울신학대학교,본교,경기도 부천시 소사구 호현로489번길 52,37.4795020,126.7889548,19.329540912557853
0000126,서울여자대학교,본교,서울특별시 노원구 화랑로 621,37.6280329,127.0904235,12.419595530351355
0000127,서울장신대학교,본교,경기도 광주시 경안로 145,37.4100211,127.2462171,27.678605317178892
0000128,서원대학교,본교,충청북도 청주시 서원구 무심서로 377-3,36.6245008,127.4810766,111.78659132037315
0000129,선문대학교,본교,충청남도 아산시 탕정면 선문로221번길 70,36.7991470,127.0749055,83.81432133230727
0000131,성결대학교,본교,경기도 안양시 만안구 성결대학로 53,37.3799000,126.9266623,19.773396130663627
0000132,성공회대학교,본교,서울특별시 구로구 연동로 320,37.4877974,126.8255598,16.00808900513552
0000133,성균관대학교,본교,서울특별시 종로구 성균관로 25-2,37.5879535,126.9921594,4.09740476425215
0000136,성신여자대학교,본교,서울특별시 성북구 보문로34다길 2,37.5915171,127.0228833,5.424692112061979
0000137,세명대학교,본교,충청북도 제천시 세명로 65,37.1810510,128.1968370,114.67101948414556
0000138,세종대학교,본교,서울특별시 광진구 능동로 209,37.5514706,127.0738840,7.569145222046649
0000139,수원가톨릭대학교,본교,경기도 화성시 봉담읍 왕림1길 67,37.1946126,126.9341701,39.86090114547401
0000140,수원대학교,본교,경기도 화성시 봉담읍 와우안길 17,37.2087424,126.9765717,38.0181567973118
0000141,숙명여자대학교,본교,서울특별시 용산구 청파로47길 90,37.5452929,126.9654298,2.1174906387944445
0000142,순천향대학교,본교,충청남도 아산시 신창면 순천향로 22,36.7700865,126.9323380,86.82707671044102
0000143,숭실대학교,본교,서울특별시 동작구 상도로 369,37.4966895,126.9575041,6.628450110417809
0000144,신라대학교,본교,부산광역시 사상구 백양대로700번길 140,35.1682792,128.9977086,320.0503178599714
0000145,아신대학교,본교,경기도 양평군 옥천면 경강로 1276 아신대학교,37.5111175,127.4282043,39.142218489514235
0000146,아주대학교,본교,경기도 수원시 영통구 월드컵로 206,37.2833808,127.0460720,30.158492359421423
0000147,안양대학교,본교,경기도 안양시 만안구 삼덕로37번길 22,37.3912403,126.9197909,18.753892450455933
0000148,안양대학교,제2캠퍼스,인천광역시 강화군 불은면 중앙로 602-14,37.7107366,126.4443816,51.16824040229821
0000149,연세대학교,본교,서울특별시 서대문구 연세로 50,37.5671131,126.9390292,4.693301485136927
0000150,연세대학교(미래),분교,강원특별자치도 원주시 흥업면 연세대길 1 연세대학,37.2808750,127.9010000,86.1911130021441
0000151,영남대학교,본교,경상북도 경산시 대학로 280,35.8325351,128.7575093,247.73044117099843
0000153,영남신학대학교,본교,경상북도 경산시 진량읍 봉회1길 26,35.8803964,128.8180666,247.17800868030244
0000154,유원대학교,본교,충청북도 영동군 영동읍 대학로 310,36.1954376,127.7979886,166.87666956917903
0000155,영산선학대학교,본교,전라남도 영광군 백수읍 성지로 1357,35.3273523,126.4413400,251.5936522132803
0000156,용인대학교,본교,경기도 용인시 처인구 용인대학로 134,37.2270152,127.1678561,39.336052335244325
0000157,우석대학교,본교,전라북도 완주군 삼례읍 삼례로 443,35.9127996,127.0659877,181.9467941835055
0000158,울산대학교,본교,울산광역시 남구 대학로 93,35.5437482,129.2561333,301.40206313963785
0000159,원광대학교,본교,전라북도 익산시 익산대로 460,35.9678300,126.9557171,175.7321070963631
0000160,위덕대학교,본교,경상북도 경주시 강동면 동해대로 261,36.0126541,129.2837978,266.7049399714736
0000161,을지대학교,본교,대전광역시 중구 계룡로771번길 77,36.3331170,127.4054750,140.1915331455291
0000162,을지대학교,제2캠퍼스,경기도 성남시 수정구 산성대로 553,37.4611948,127.1653979,18.577289819598885
0000163,이화여자대학교,본교,서울특별시 서대문구 이화여대길 52,37.5617396,126.9472448,3.806451411813547
0000164,인제대학교,본교,경상남도 김해시 인제로 197,35.2487277,128.9026673,307.830040185413
0000166,인제대학교,제2캠퍼스,부산광역시 부산진구 복지로 75,35.1461809,129.0208926,323.26226314203365
0000167,인천가톨릭대학교,제2캠퍼스,인천광역시 연수구 송도문화로120번길 20,37.3726233,126.6635086,34.89945026562388
0000168,인천가톨릭대학교,본교,인천광역시 강화군 양도면 고려왕릉로 53-1,37.6575487,126.4477375,49.165117378613566
