jrank, uniname,            sourcename, sourcedate, year
11,    동국대학교,         중앙일보,   10/6/2014,  2014
12,    이화여자대학교,     중앙일보,   10/6/2014,  2014
13,    건국대학교,         중앙일보,   10/6/2014,  2014
14,    인하대학교,         중앙일보,   10/6/2014,  2014
14,    서울시립대학교,     중앙일보,   10/6/2014,  2014
16,    아주대학교,         중앙일보,   10/6/2014,  2014
17,    한양대학교,         중앙일보,   10/6/2014,  2014
18,    부산대학교,         중앙일보,   10/6/2014,  2014
19,    한국외국어대학교,   중앙일보,   10/6/2014,  2014
20,    서울과학기술대학교, 중앙일보,   10/6/2014,  2014
21,    경북대학교,         중앙일보,   10/6/2014,  2014
22,    전북대학교,         중앙일보,   10/6/2014,  2014
23,    국민대학교,         중앙일보,   10/6/2014,  2014
24,    한국기술교육대학교, 중앙일보,   10/6/2014,  2014
25,    전남대학교,         중앙일보,   10/6/2014,  2014
26,    가톨릭대학교,       중앙일보,   10/6/2014,  2014
27,    충남대학교,         중앙일보,   10/6/2014,  2014
28,    세종대학교,         중앙일보,   10/6/2014,  2014
29,    영남대학교,         중앙일보,   10/6/2014,  2014
30,    숭실대학교,         중앙일보,   10/6/2014,  2014
1,     서울대학교,         중앙일보,   10/20/2015, 2015
2,     성균관대학교,       중앙일보,   10/20/2015, 2015
3,     한양대학교,         중앙일보,   10/20/2015, 2015
4,     연세대학교,         중앙일보,   10/20/2015, 2015
5,     고려대학교,         중앙일보,   10/20/2015, 2015
6,     서강대학교,         중앙일보,   10/20/2015, 2015
7,     이화여자대학교,     중앙일보,   10/20/2015, 2015
8,     중앙대학교,         중앙일보,   10/20/2015, 2015
8,     한양대학교,         중앙일보,   10/20/2015, 2015
10,    서울시립대학교,     중앙일보,   10/20/2015, 2015
11,    경희대학교,         중앙일보,   10/20/2015, 2015
12,    부산대학교,         중앙일보,   10/20/2015, 2015
13,    인하대학교,         중앙일보,   10/20/2015, 2015
14,    한국외국어대학교,   중앙일보,   10/20/2015, 2015
15,    경북대학교,         중앙일보,   10/20/2015, 2015
16,    아주대학교,         중앙일보,   10/20/2015, 2015
16,    전북대학교,         중앙일보,   10/20/2015, 2015
18,    충남대학교,         중앙일보,   10/20/2015, 2015
19,    동국대학교,         중앙일보,   10/20/2015, 2015
20,    전남대학교,         중앙일보,   10/20/2015, 2015
21,    건국대학교,         중앙일보,   10/20/2015, 2015
22,    충북대학교,         중앙일보,   10/20/2015, 2015
23,    서울과학기술대학교, 중앙일보,   10/20/2015, 2015
24,    한국해양대학교,     중앙일보,   10/20/2015, 2015
25,    영남대학교,         중앙일보,   10/20/2015, 2015
26,    울산대학교,         중앙일보,   10/20/2015, 2015
27,    가톨릭대학교,       중앙일보,   10/20/2015, 2015
27,    국민대학교,         중앙일보,   10/20/2015, 2015
29,    제주대학교,         중앙일보,   10/20/2015, 2015
29,    홍익대학교,         중앙일보,   10/20/2015, 2015
1,     서울대학교,         중앙일보,   10/17/2016, 2016
2,     한양대학교,         중앙일보,   10/17/2016, 2016
3,     성균관대학교,       중앙일보,   10/17/2016, 2016
4,     연세대학교,         중앙일보,   10/17/2016, 2016
5,     고려대학교,         중앙일보,   10/17/2016, 2016
6,     이화여자대학교,     중앙일보,   10/17/2016, 2016
7,     중앙대학교,         중앙일보,   10/17/2016, 2016
8,     경희대학교,         중앙일보,   10/17/2016, 2016
8,     한양대학교,         중앙일보,   10/17/2016, 2016
10,    인하대학교,         중앙일보,   10/17/2016, 2016
10,    한국외국어대학교,   중앙일보,   10/17/2016, 2016
12,    서강대학교,         중앙일보,   10/17/2016, 2016
13,    서울시립대학교,     중앙일보,   10/17/2016, 2016
13,    아주대학교,         중앙일보,   10/17/2016, 2016
15,    건국대학교,         중앙일보,   10/17/2016, 2016
16,    부산대학교,         중앙일보,   10/17/2016, 2016
17,    경북대학교,         중앙일보,   10/17/2016, 2016
17,    동국대학교,         중앙일보,   10/17/2016, 2016
19,    전남대학교,         중앙일보,   10/17/2016, 2016
19,    전북대학교,         중앙일보,   10/17/2016, 2016
21,    국민대학교,         중앙일보,   10/17/2016, 2016
22,    충북대학교,         중앙일보,   10/17/2016, 2016
23,    서울과학기술대학교, 중앙일보,   10/17/2016, 2016
23,    충남대학교,         중앙일보,   10/17/2016, 2016
23,    상명대학교,         중앙일보,   10/17/2016, 2016
26,    울산대학교,         중앙일보,   10/17/2016, 2016
26,    영남대학교,         중앙일보,   10/17/2016, 2016
28,    숙명여자대학교,     중앙일보,   10/17/2016, 2016
29,    가톨릭대학교,       중앙일보,   10/17/2016, 2016
30,    홍익대학교,         중앙일보,   10/17/2016, 2016
1,     서울대학교,         중앙일보,   10/17/2017, 2017
2,     성균관대학교,       중앙일보,   10/17/2017, 2017
3,     한양대학교,         중앙일보,   10/17/2017, 2017
4,     고려대학교,         중앙일보,   10/17/2017, 2017
5,     연세대학교,         중앙일보,   10/17/2017, 2017
6,     서강대학교,         중앙일보,   10/17/2017, 2017
7,     중앙대학교,         중앙일보,   10/17/2017, 2017
8,     인하대학교,         중앙일보,   10/17/2017, 2017
9,     한양대학교,         중앙일보,   10/17/2017, 2017
10,    경희대학교,         중앙일보,   10/17/2017, 2017
10,    이화여자대학교,     중앙일보,   10/17/2017, 2017
12,    아주대학교,         중앙일보,   10/17/2017, 2017
13,    서울시립대학교,     중앙일보,   10/17/2017, 2017
13,    한국외국어대학교,   중앙일보,   10/17/2017, 2017
15,    건국대학교,         중앙일보,   10/17/2017, 2017
16,    부산대학교,         중앙일보,   10/17/2017, 2017
17,    동국대학교,         중앙일보,   10/17/2017, 2017
18,    전남대학교,         중앙일보,   10/17/2017, 2017
19,    경북대학교,         중앙일보,   10/17/2017, 2017
19,    국민대학교,         중앙일보,   10/17/2017, 2017
1,     서울대학교,         중앙일보,   10/29/2018, 2018
2,     성균관대학교,       중앙일보,   10/29/2018, 2018
3,     한양대학교,         중앙일보,   10/29/2018, 2018
4,     고려대학교,         중앙일보,   10/29/2018, 2018
4,     연세대학교,         중앙일보,   10/29/2018, 2018
6,     경희대학교,         중앙일보,   10/29/2018, 2018
7,     서강대학교,         중앙일보,   10/29/2018, 2018
8,     이화여자대학교,     중앙일보,   10/29/2018, 2018
9,     한양대학교,         중앙일보,   10/29/2018, 2018
10,    중앙대학교,         중앙일보,   10/29/2018, 2018
11,    아주대학교,         중앙일보,   10/29/2018, 2018
11,    인하대학교,         중앙일보,   10/29/2018, 2018
13,    한국외국어대학교,   중앙일보,   10/29/2018, 2018
14,    서울시립대학교,     중앙일보,   10/29/2018, 2018
15,    건국대학교,         중앙일보,   10/29/2018, 2018
16,    부산대학교,         중앙일보,   10/29/2018, 2018
17,    동국대학교,         중앙일보,   10/29/2018, 2018
18,    국민대학교,         중앙일보,   10/29/2018, 2018
19,    서울과학기술대학교, 중앙일보,   10/29/2018, 2018
20,    숙명여자대학교,     중앙일보,   10/29/2018, 2018
1,     서울대학교,         중앙선데이, 11/16/2019, 2019
2,     성균관대학교,       중앙선데이, 11/16/2019, 2019
3,     한양대학교,         중앙선데이, 11/16/2019, 2019
4,     연세대학교,         중앙선데이, 11/16/2019, 2019
5,     고려대학교,         중앙선데이, 11/16/2019, 2019
6,     경희대학교,         중앙선데이, 11/16/2019, 2019
7,     중앙대학교,         중앙선데이, 11/16/2019, 2019
8,     서강대학교,         중앙선데이, 11/16/2019, 2019
8,     이화여자대학교,     중앙선데이, 11/16/2019, 2019
10,    한양대학교,         중앙선데이, 11/16/2019, 2019
11,    아주대학교,         중앙선데이, 11/16/2019, 2019
12,    서울시립대학교,     중앙선데이, 11/16/2019, 2019
13,    한국외국어대학교,   중앙선데이, 11/16/2019, 2019
14,    건국대학교,         중앙선데이, 11/16/2019, 2019
15,    인하대학교,         중앙선데이, 11/16/2019, 2019
16,    국민대학교,         중앙선데이, 11/16/2019, 2019
17,    동국대학교,         중앙선데이, 11/16/2019, 2019
18,    부산대학교,         중앙선데이, 11/16/2019, 2019
19,    숙명여자대학교,     중앙선데이, 11/16/2019, 2019
20,    전북대학교,         중앙선데이, 11/16/2019, 2019
21,    서울과학기술대학교, 중앙선데이, 11/16/2019, 2019
22,    세종대학교,         중앙선데이, 11/16/2019, 2019
23,    경북대학교,         중앙선데이, 11/16/2019, 2019
24,    인천대학교,         중앙선데이, 11/16/2019, 2019
25,    전남대학교,         중앙선데이, 11/16/2019, 2019
26,    충남대학교,         중앙선데이, 11/16/2019, 2019
27,    홍익대학교,         중앙선데이, 11/16/2019, 2019
28,    충북대학교,         중앙선데이, 11/16/2019, 2019
29,    가천대학교,         중앙선데이, 11/16/2019, 2019
29,    가톨릭대학교,       중앙선데이, 11/16/2019, 2019
