jrank, uniname,            sourcename, sourcedate, year
9,     경희대학교,         중앙일보,   09/25/2000, 2000
10,    서강대학교,         중앙일보,   09/25/2000, 2000
11,    가톨릭대학교,       중앙일보,   09/25/2000, 2000
12,    부산대학교,         중앙일보,   09/25/2000, 2000
12,    아주대학교,         중앙일보,   09/25/2000, 2000
12,    전남대학교,         중앙일보,   09/25/2000, 2000
15,    중앙대학교,         중앙일보,   09/25/2000, 2000
16,    경북대학교,         중앙일보,   09/25/2000, 2000
16,    인하대학교,         중앙일보,   09/25/2000, 2000
18,    영남대학교,         중앙일보,   09/25/2000, 2000
18,    울산대학교,         중앙일보,   09/25/2000, 2000
18,    인제대학교,         중앙일보,   09/25/2000, 2000
18,    충남대학교,         중앙일보,   09/25/2000, 2000
1,     한국과학기술원,     중앙일보,   09/24/2001, 2001
2,     포항공과대학교,     중앙일보,   09/24/2001, 2001
3,     서울대학교,         중앙일보,   09/24/2001, 2001
4,     연세대학교,         중앙일보,   09/24/2001, 2001
5,     고려대학교,         중앙일보,   09/24/2001, 2001
6,     성균관대학교,       중앙일보,   09/24/2001, 2001
7,     서강대학교,         중앙일보,   09/24/2001, 2001
7,     한양대학교,         중앙일보,   09/24/2001, 2001
9,     이화여자대학교,     중앙일보,   09/24/2001, 2001
10,    경희대학교,         중앙일보,   09/24/2001, 2001
11,    가톨릭대학교,       중앙일보,   09/24/2001, 2001
11,    인하대학교,         중앙일보,   09/24/2001, 2001
11,    중앙대학교,         중앙일보,   09/24/2001, 2001
14,    경북대학교,         중앙일보,   09/24/2001, 2001
14,    부산대학교,         중앙일보,   09/24/2001, 2001
16,    한국기술교육대학교, 중앙일보,   09/24/2001, 2001
16,    한림대학교,         중앙일보,   09/24/2001, 2001
18,    숭실대학교,         중앙일보,   09/24/2001, 2001
19,    인제대학교,         중앙일보,   09/24/2001, 2001
20,    아주대학교,         중앙일보,   09/24/2001, 2001
1,     포항공과대학교,     중앙일보,   09/26/2002, 2002
2,     한국과학기술원,     중앙일보,   09/26/2002, 2002
3,     서울대학교,         중앙일보,   09/26/2002, 2002
4,     연세대학교,         중앙일보,   09/26/2002, 2002
5,     고려대학교,         중앙일보,   09/26/2002, 2002
6,     성균관대학교,       중앙일보,   09/26/2002, 2002
7,     서강대학교,         중앙일보,   09/26/2002, 2002
8,     한양대학교,         중앙일보,   09/26/2002, 2002
9,     이화여자대학교,     중앙일보,   09/26/2002, 2002
10,    인하대학교,         중앙일보,   09/26/2002, 2002
11,    경희대학교,         중앙일보,   09/26/2002, 2002
11,    부산대학교,         중앙일보,   09/26/2002, 2002
11,    아주대학교,         중앙일보,   09/26/2002, 2002
14,    가톨릭대학교,       중앙일보,   09/26/2002, 2002
14,    경북대학교,         중앙일보,   09/26/2002, 2002
16,    세종대학교,         중앙일보,   09/26/2002, 2002
16,    울산대학교,         중앙일보,   09/26/2002, 2002
16,    인제대학교,         중앙일보,   09/26/2002, 2002
16,    중앙대학교,         중앙일보,   09/26/2002, 2002
16,    한림대학교,         중앙일보,   09/26/2002, 2002
1,     포항공과대학교,     중앙일보,   09/24/2003, 2003
2,     한국과학기술원,     중앙일보,   09/24/2003, 2003
3,     서울대학교,         중앙일보,   09/24/2003, 2003
4,     연세대학교,         중앙일보,   09/24/2003, 2003
5,     고려대학교,         중앙일보,   09/24/2003, 2003
6,     성균관대학교,       중앙일보,   09/24/2003, 2003
7,     서강대학교,         중앙일보,   09/24/2003, 2003
7,     한양대학교,         중앙일보,   09/24/2003, 2003
9,     이화여자대학교,     중앙일보,   09/24/2003, 2003
10,    부산대학교,         중앙일보,   09/24/2003, 2003
10,    한림대학교,         중앙일보,   09/24/2003, 2003
12,    가톨릭대학교,       중앙일보,   09/24/2003, 2003
12,    경북대학교,         중앙일보,   09/24/2003, 2003
12,    인하대학교,         중앙일보,   09/24/2003, 2003
12,    중앙대학교,         중앙일보,   09/24/2003, 2003
16,    경희대학교,         중앙일보,   09/24/2003, 2003
16,    인제대학교,         중앙일보,   09/24/2003, 2003
18,    아주대학교,         중앙일보,   09/24/2003, 2003
18,    울산대학교,         중앙일보,   09/24/2003, 2003
18,    전남대학교,         중앙일보,   09/24/2003, 2003
1,     포항공과대학교,     중앙일보,   09/20/2004, 2004
2,     한국과학기술원,     중앙일보,   09/20/2004, 2004
3,     서울대학교,         중앙일보,   09/20/2004, 2004
4,     연세대학교,         중앙일보,   09/20/2004, 2004
5,     고려대학교,         중앙일보,   09/20/2004, 2004
6,     성균관대학교,       중앙일보,   09/20/2004, 2004
7,     한양대학교,         중앙일보,   09/20/2004, 2004
8,     서강대학교,         중앙일보,   09/20/2004, 2004
9,     이화여자대학교,     중앙일보,   09/20/2004, 2004
9,     인하대학교,         중앙일보,   09/20/2004, 2004
11,    가톨릭대학교,       중앙일보,   09/20/2004, 2004
11,    경희대학교,         중앙일보,   09/20/2004, 2004
11,    중앙대학교,         중앙일보,   09/20/2004, 2004
14,    경북대학교,         중앙일보,   09/20/2004, 2004
14,    한림대학교,         중앙일보,   09/20/2004, 2004
16,    한국외국어대학교,   중앙일보,   09/20/2004, 2004
17,    건국대학교,         중앙일보,   09/20/2004, 2004
17,    부산대학교,         중앙일보,   09/20/2004, 2004
17,    아주대학교,         중앙일보,   09/20/2004, 2004
17,    울산대학교,         중앙일보,   09/20/2004, 2004
17,    인제대학교,         중앙일보,   09/20/2004, 2004
1,     포항공과대학교,     중앙일보,   10/04/2005, 2005
2,     한국과학기술원,     중앙일보,   10/04/2005, 2005
3,     서울대학교,         중앙일보,   10/04/2005, 2005
4,     연세대학교,         중앙일보,   10/04/2005, 2005
5,     고려대학교,         중앙일보,   10/04/2005, 2005
6,     성균관대학교,       중앙일보,   10/04/2005, 2005
7,     한양대학교,         중앙일보,   10/04/2005, 2005
8,     서강대학교,         중앙일보,   10/04/2005, 2005
9,     이화여자대학교,     중앙일보,   10/04/2005, 2005
10,    경희대학교,         중앙일보,   10/04/2005, 2005
11,    경북대학교,         중앙일보,   10/04/2005, 2005
12,    중앙대학교,         중앙일보,   10/04/2005, 2005
13,    인하대학교,         중앙일보,   10/04/2005, 2005
14,    한국외국어대학교,   중앙일보,   10/04/2005, 2005
15,    아주대학교,         중앙일보,   10/04/2005, 2005
16,    부산대학교,         중앙일보,   10/04/2005, 2005
17,    가톨릭대학교,       중앙일보,   10/04/2005, 2005
18,    건국대학교,         중앙일보,   10/04/2005, 2005
19,    한림대학교,         중앙일보,   10/04/2005, 2005
20,    울산대학교,         중앙일보,   10/04/2005, 2005
21,    세종대학교,         중앙일보,   10/04/2005, 2005
22,    충남대학교,         중앙일보,   10/04/2005, 2005
23,    서울시립대학교,     중앙일보,   10/04/2005, 2005
24,    숙명여자대학교,     중앙일보,   10/04/2005, 2005
24,    인제대학교,         중앙일보,   10/04/2005, 2005
26,    명지대학교,         중앙일보,   10/04/2005, 2005
27,    충북대학교,         중앙일보,   10/04/2005, 2005
28,    전남대학교,         중앙일보,   10/04/2005, 2005
29,    영남대학교,         중앙일보,   10/04/2005, 2005
30,    한국기술교육대학교, 중앙일보,   10/04/2005, 2005
1,     한국과학기술원,     중앙일보,   09/26/2006, 2006
2,     서울대학교,         중앙일보,   09/26/2006, 2006
2,     포항공과대학교,     중앙일보,   09/26/2006, 2006
4,     고려대학교,         중앙일보,   09/26/2006, 2006
5,     연세대학교,         중앙일보,   09/26/2006, 2006
6,     성균관대학교,       중앙일보,   09/26/2006, 2006
7,     한양대학교,         중앙일보,   09/26/2006, 2006
8,     서강대학교,         중앙일보,   09/26/2006, 2006
9,     인하대학교,         중앙일보,   09/26/2006, 2006
9,     이화여자대학교,     중앙일보,   09/26/2006, 2006
9,     경희대학교,         중앙일보,   09/26/2006, 2006
12,    중앙대학교,         중앙일보,   09/26/2006, 2006
12,    부산대학교,         중앙일보,   09/26/2006, 2006
14,    아주대학교,         중앙일보,   09/26/2006, 2006
14,    건국대학교,         중앙일보,   09/26/2006, 2006
16,    경북대학교,         중앙일보,   09/26/2006, 2006
17,    가톨릭대학교,       중앙일보,   09/26/2006, 2006
17,    서울시립대학교,     중앙일보,   09/26/2006, 2006
19,    전남대학교,         중앙일보,   09/26/2006, 2006
19,    숙명여자대학교,     중앙일보,   09/26/2006, 2006
19,    한림대학교,         중앙일보,   09/26/2006, 2006
22,    숭실대학교,         중앙일보,   09/26/2006, 2006
22,    세종대학교,         중앙일보,   09/26/2006, 2006
22,    한국외국어대학교,   중앙일보,   09/26/2006, 2006
22,    울산대학교,         중앙일보,   09/26/2006, 2006
22,    인제대학교,         중앙일보,   09/26/2006, 2006
27,    한국기술교육대학교, 중앙일보,   09/26/2006, 2006
27,    동국대학교,         중앙일보,   09/26/2006, 2006
27,    충남대학교,         중앙일보,   09/26/2006, 2006
30,    한동대학교,         중앙일보,   09/26/2006, 2006
1,     포항공과대학교,     중앙일보,   09/27/2007, 2007
2,     한국과학기술원,     중앙일보,   09/27/2007, 2007
3,     서울대학교,         중앙일보,   09/27/2007, 2007
4,     연세대학교,         중앙일보,   09/27/2007, 2007
4,     고려대학교,         중앙일보,   09/27/2007, 2007
6,     성균관대학교,       중앙일보,   09/27/2007, 2007
7,     한양대학교,         중앙일보,   09/27/2007, 2007
8,     서강대학교,         중앙일보,   09/27/2007, 2007
9,     이화여자대학교,     중앙일보,   09/27/2007, 2007
10,    인하대학교,         중앙일보,   09/27/2007, 2007
10,    한국외국어대학교,   중앙일보,   09/27/2007, 2007
12,    경희대학교,         중앙일보,   09/27/2007, 2007
13,    중앙대학교,         중앙일보,   09/27/2007, 2007
13,    부산대학교,         중앙일보,   09/27/2007, 2007
13,    건국대학교,         중앙일보,   09/27/2007, 2007
16,    경북대학교,         중앙일보,   09/27/2007, 2007
16,    아주대학교,         중앙일보,   09/27/2007, 2007
18,    한동대학교,         중앙일보,   09/27/2007, 2007
19,    서울시립대학교,     중앙일보,   09/27/2007, 2007
