학교구분,학교코드,학교명,본분교,학제,지역,설립구분,관련법령,법인명,학교상태,학교명(한자),학교명(영문),주소1,주소2,영문주소,중문주소,우편번호,학교개교일,학교홈페이지,총장명,"학교대표
번호","학교대표
팩스번호"
대학,0000001,강릉원주대학교,본교,대학교,강원,국립,고등교육법,해당없음,기존,国立江陵原州大学,Gangneung Wonju National University,강원특별자치도 강릉시 죽헌길 7,( 지변동)                                      ,"7 Jukheon-gil, Gangneung-si, Gangwon-do","7 Jukheon-gil, Gangneung-si, Gangwon-do",25457,1979-03-01,www.gwnu.ac.kr,반선섭,033-642-7001,033-643-7110
대학,0000002,강릉원주대학교,제2캠퍼스,대학교,강원,국립,고등교육법,해당없음,기존,国立江陵原州大学,Gangneung Wonju National University,강원특별자치도 원주시 흥업면 남원로 150,                                               ,"150 Namwon-ro, Heungeop-myeon, Wonju-si, Gangwon-do","150 Namwon-ro, Heungeop-myeon, Wonju-si, Gangwon-do",26403,2007-03-01,www.gwnu.ac.kr,반선섭,033-760-8020,033-760-8029
