cname; iso2; iso3; year; pv6t1; pv6t2; pv6t3; pv6t4; pv6t5; pv6t6; pv6t7; pv6t8; pv6t9;
Australia; au; aus; 1981; 0; 0; 0; 0; 0; 0; 0; 1; 0;
Australia; au; aus; 1985; .1021389420596236; .1379527208991169; .0622951170152153; .1014487133868318; .0893867269007349; .0942384265942759; .3090882985358205; .0892200495035506; .0142310051048306;
Australia; au; aus; 1989; .096865468225858; .1275288885530569; .0540680051348208; .0860863568789513; .0773890414651086; .1203831225504193; .3226724698106584; .0978874153542327; .017119232026894;
Australia; au; aus; 1995; .0966987958552607; .1149292434659757; .0600073368774512; .1007031352778261; .0788160475964348; .1167910147797599; .2962787266820059; .1238134130148218; .0119622864504639;
Australia; au; aus; 2001; .0968804860269008; .1197111751492245; .0677269244761947; .1013572374865846; .07872749633803; .1393182190415281; .2699914682806455; .113185085263189; .0131019079377028;
Australia; au; aus; 2003; .0934117086092022; .1267650100437029; .0755082082196148; .0996345288837701; .0787303960936687; .1428993493367249; .2690401138140024; .0945545192870231; .019456165712291;
Australia; au; aus; 2004; .0948684271628781; .1373052843674348; .0690290194986999; .1039597207044769; .0858809678245284; .1266557699337267; .2555496494336759; .1135185175968385; .0132326434777408;
Australia; au; aus; 2008; .0984193778552668; .1453477927871067; .0624575982200569; .0838497670889168; .088383543320448; .1253014092515428; .2759025781005696; .1006041070598776; .0197338263162148;
Australia; au; aus; 2010; .0934692800796124; .1457813540485628; .0683238279296962; .08870537317096; .0913995162244507; .1306890159566855; .2604690839353292; .1011735402890449; .0199890083656583;
Australia; au; aus; 2014; .1008270454913523; .1531194893403721; .0666420091171755; .0830635641779637; .0937591526805148; .1040608066917849; .2445791106724851; .1347354555226263; .0192133663057253;
Australia; au; aus; 2016; .1032728384590122; .1625620476311334; .0671000018956836; .0759504011084858; .0973341196293916; .1040491637921676; .233279342677403; .1310703245166072; .0253817602901156;
Australia; au; aus; 2018; .1058397108312344; .1576637447645132; .0612398170403197; .0770438524345422; .0904440188008217; .0982583983623311; .2379279079622945; .1409719750329151; .0306105747710281;
Australia; au; aus; 2020; .1146027913701452; .1658748552873011; .0620481205113381; .0733998510549649; .0915396342329838; .1007851548775981; .2257951112328086; .1330065129148131; .0329479685180472;
Austria; at; aut; 1994; .1571740032007155; .1127278447295343; .1141023061494008; .0833419351194628; .0705679113910643; .0855300449465497; .239576328348546; .1073272468627164; .0296523792520102;
Austria; at; aut; 1995; .1579181691657632; .105087483970958; .1108941580940941; .0865013083681707; .050950834555291; .0842564846798512; .280563117168948; .0962714318526217; .027557012144302;
Austria; at; aut; 1996; .1592417158809736; .1151533034331156; .119534188511603; .0903895430279489; .0667879222721237; .0845336390406233; .2393528462421837; .1004266414801171; .0245802001113111;
Austria; at; aut; 1997; .161151750627109; .1109899338136121; .0976572248898415; .10910223148469; .0616440462387558; .0812208546083815; .2725804300172954; .0842092276057304; .0214443007145842;
Austria; at; aut; 1998; .1811491682807219; .1244696108088807; .0866390953825794; .0984113490995046; .0690871395384287; .0854376969239486; .2549458226274409; .0716137915543515; .0282463257841439;
Austria; at; aut; 1999; .1767357442209307; .1415035375010124; .0964803225761355; .0977186560770877; .0976977133088942; .0866480119148472; .2141928162789908; .0755332884112111; .0134899097108903;
Austria; at; aut; 2000; .1619635150653517; .1268072816304131; .0925316226209108; .1024014987380893; .0774977653804167; .0803620055414341; .2585732571941918; .0810875017353394; .0187755520938531;
Austria; at; aut; 2003; .1699253905112033; .1481298123507208; .1145946173476001; .1239686538575472; .1136460745856375; .0603990074789668; .1718617435354097; .0815378416162663; .0159368587166484;
Austria; at; aut; 2004; .1665787840075316; .1805243047128695; .1013287928220431; .1203017041082662; .1154169649460564; .0447968829576821; .1686055948551552; .0857050520430464; .0167419195473494;
Austria; at; aut; 2005; .1777589163629608; .1720847395788839; .10449828486658; .1095761857289832; .1140919539160391; .0532844979725282; .160001422666618; .0876191101601243; .0210848887472825;
Austria; at; aut; 2006; .1666157511285735; .1792615945942145; .1001726323088872; .1057104690693807; .1200230795279836; .0657878989019283; .1485113335480266; .0915994004139832; .0223178405070225;
Austria; at; aut; 2007; .1682248458083245; .1838007722076601; .1080244676980688; .097224485497559; .1076788711814839; .0584452119270539; .1707573454980111; .0858946393635426; .0199493608182962;
Austria; at; aut; 2008; .1686945467184761; .1959136792072894; .1079803013133602; .0934438527116767; .107761287049712; .0511582517526173; .1765308352282975; .0821259086871998; .016391337331371;
Austria; at; aut; 2009; .1646990746963533; .1890626945018365; .108970163942957; .1065206352054; .1196686932573628; .0447621915762711; .1655336007551477; .0842792093572867; .0165037367073849;
Austria; at; aut; 2010; .1625795857679456; .193751207289847; .115990561576508; .1035095540534365; .1074770304998903; .0474222183915722; .1762133875376017; .0772444987135296; .015811956169669;
Austria; at; aut; 2011; .1632602351690873; .1936968249310853; .1190383282215021; .1006871493106981; .1072606096850414; .0462582376222028; .1520978774930518; .0995928690209113; .0181078685464199;
Austria; at; aut; 2012; .1748884986242402; .2054261207160953; .1090386190766223; .1011361713330006; .1118081358636886; .0530905793685078; .1460603254023855; .0718297650574857; .0267217845579741;
Austria; at; aut; 2013; .1701918113276727; .220165284773802; .1231505587675978; .0937185233809617; .0989463376159251; .0634112029198764; .1244246143374787; .0904943113725451; .0154973555041405;
Austria; at; aut; 2014; .174484626376181; .2117113826392951; .1147746081494545; .084619085108053; .0985806347186712; .0498280406863369; .1602957973232315; .0946007693684817; .0111050556302951;
