cname,iso2,name,group,grcat,value
France,fr,min,1,1,-314.8021930778347
France,fr,bnf,1,1,18585.73129742161
France,fr,tax,1,1,1306.732408366427
France,fr,sct,1,1,25.3926686036792
France,fr,bdn,1,1,1332.12507686649
France,fr,bfn,1,1,17253.60622228303
France,fr,bf0,1,1,17301.5611355407
France,fr,min,2,1,733.0634418911945
France,fr,bnf,2,1,22080.77800386687
France,fr,tax,2,1,2103.107111510254
France,fr,sct,2,1,29.63542805061097
France,fr,bdn,2,1,2132.742539561561
France,fr,bfn,2,1,19948.03546322229
France,fr,bf0,2,1,19978.69185188516
France,fr,min,3,1,4825.517483888357
France,fr,bnf,3,1,17306.35861977427
France,fr,tax,3,1,2121.511079610152
France,fr,sct,3,1,374.1973313789059
France,fr,bdn,3,1,2495.708409368515
France,fr,bfn,3,1,14810.65021191567
France,fr,bf0,3,1,14893.76231643477
France,fr,min,4,1,11400.13754044941
France,fr,bnf,4,1,10505.22202262018
France,fr,tax,4,1,1884.298021857295
France,fr,sct,4,1,1065.392762122775
France,fr,bdn,4,1,2949.690782526498
France,fr,bfn,4,1,7555.53124690465
France,fr,bf0,4,1,7720.156715171816
France,fr,min,5,1,17444.22939643476
France,fr,bnf,5,1,7578.520384262567
France,fr,tax,5,1,2287.850954349877
France,fr,sct,5,1,1682.356258481544
France,fr,bdn,5,1,3970.207213253183
France,fr,bfn,5,1,3608.313177053765
France,fr,bf0,5,1,4140.699580397993
France,fr,min,6,1,23238.57972178718
France,fr,bnf,6,1,5106.688061972466
France,fr,tax,6,1,2706.962938928131
France,fr,sct,6,1,2303.045932711317
France,fr,bdn,6,1,5010.008866463681
France,fr,bfn,6,1,96.67919512983033
France,fr,bf0,6,1,1963.615523781923
France,fr,min,7,1,28986.82532784272
France,fr,bnf,7,1,3697.274458370454
France,fr,tax,7,1,3383.860427355176
France,fr,sct,7,1,2936.294423267788
France,fr,bdn,7,1,6320.154851425312
France,fr,bfn,7,1,-2622.880392716783
France,fr,bf0,7,1,1081.415570479898
France,fr,min,8,1,35431.42580208773
France,fr,bnf,8,1,3013.786151152148
France,fr,tax,8,1,4486.242790970208
France,fr,sct,8,1,3597.965318331649
France,fr,bdn,8,1,8084.208113109936
France,fr,bfn,8,1,-5070.421962417047
France,fr,bf0,8,1,657.9526587552828
France,fr,min,9,1,45385.76005362984
France,fr,bnf,9,1,2719.706632637715
France,fr,tax,9,1,6830.045875936242
France,fr,sct,9,1,4649.259013482436
France,fr,bdn,9,1,11479.30489274928
France,fr,bfn,9,1,-8759.598261571549
France,fr,bf0,9,1,569.0602951633958
France,fr,min,10,1,87143.65125431583
France,fr,bnf,10,1,3162.874883264426
France,fr,tax,10,1,19391.68418361171
France,fr,sct,10,1,8222.889424729759
France,fr,bdn,10,1,27614.57359561815
France,fr,bfn,10,1,-24451.69870581375
France,fr,bf0,10,1,377.8694636995917
France,fr,min,1,2,-3096.450748972651
France,fr,bnf,1,2,22365.26883767111
France,fr,tax,1,2,2410.633255953908
France,fr,sct,1,2,232.896546699149
France,fr,bdn,1,2,2643.52980211968
France,fr,bfn,1,2,19721.73905070645
France,fr,bf0,1,2,20004.89992804765
France,fr,min,2,2,-.3349382839265063
France,fr,bnf,2,2,16355.99571457606
France,fr,tax,2,2,810.5605586790033
France,fr,sct,2,2,.3447124784099095
France,fr,bdn,2,2,810.9052711574132
France,fr,bfn,2,2,15545.09043989614
France,fr,bf0,2,2,15547.95232902037
France,fr,min,3,2,.
France,fr,bnf,3,2,.
France,fr,tax,3,2,.
France,fr,sct,3,2,.
France,fr,bdn,3,2,.
France,fr,bfn,3,2,.
France,fr,bf0,3,2,.
France,fr,min,4,2,.
France,fr,bnf,4,2,.
France,fr,tax,4,2,.
France,fr,sct,4,2,.
France,fr,bdn,4,2,.
France,fr,bfn,4,2,.
France,fr,bf0,4,2,.
France,fr,min,5,2,6.364355295536762
France,fr,bnf,5,2,18259.40898235457
France,fr,tax,5,2,1106.316304821014
France,fr,sct,5,2,.0128582030851824
France,fr,bdn,5,2,1106.329163063913
France,fr,bfn,5,2,17153.07985124561
France,fr,bf0,5,2,17153.07985124561
France,fr,min,6,2,9.924367073041974
France,fr,bnf,6,2,17278.8536265552
France,fr,tax,6,2,1229.029349478167
France,fr,sct,6,2,.0079028323615388
France,fr,bdn,6,2,1229.037252327401
France,fr,bfn,6,2,16049.81637262437
France,fr,bf0,6,2,16129.27688847531
France,fr,min,7,2,16.63460002420248
France,fr,bnf,7,2,17650.37856921511
France,fr,tax,7,2,1054.198377720837
France,fr,sct,7,2,.0395484085076692
France,fr,bdn,7,2,1054.237926085251
France,fr,bfn,7,2,16596.140612831
France,fr,bf0,7,2,16653.88747269726
France,fr,min,8,2,26.21241946434082
France,fr,bnf,8,2,20309.27227718346
France,fr,tax,8,2,1523.795449471992
France,fr,sct,8,2,.0596577024846755
France,fr,bdn,8,2,1523.855107205953
France,fr,bfn,8,2,18785.41717118257
France,fr,bf0,8,2,18793.95020680752
France,fr,min,9,2,44.57077359774792
France,fr,bnf,9,2,21134.74820913481
France,fr,tax,9,2,1833.909390382176
France,fr,sct,9,2,.1048236429718382
France,fr,bdn,9,2,1834.014213992591
France,fr,bfn,9,2,19300.73399725961
France,fr,bf0,9,2,19328.31967550876
France,fr,min,10,2,74.89507308610214
France,fr,bnf,10,2,20145.54691524962
France,fr,tax,10,2,1549.540398791951
France,fr,sct,10,2,2.926284984403188
France,fr,bdn,10,2,1552.466683303054
France,fr,bfn,10,2,18593.08023812768
France,fr,bf0,10,2,18609.78418340457
France,fr,min,11,2,119.4375529405638
France,fr,bnf,11,2,21832.25509068653
France,fr,tax,11,2,1893.169555360386
France,fr,sct,11,2,.9688368985077012
France,fr,bdn,11,2,1894.138392452801
France,fr,bfn,11,2,19938.11672525365
France,fr,bf0,11,2,19938.2311723262
France,fr,min,12,2,178.6633410935772
France,fr,bnf,12,2,21704.82278587452
France,fr,tax,12,2,1691.88525847327
France,fr,sct,12,2,2.945848219374838
France,fr,bdn,12,2,1694.831106555971
France,fr,bfn,12,2,20009.99167380749
France,fr,bf0,12,2,20020.30742509943
France,fr,min,13,2,258.2634853408899
France,fr,bnf,13,2,21967.30838502864
France,fr,tax,13,2,1915.444379872808
France,fr,sct,13,2,1.789853716014719
France,fr,bdn,13,2,1917.234233377723
France,fr,bfn,13,2,20050.07414474661
France,fr,bf0,13,2,20050.71206230974
France,fr,min,14,2,365.2297242327035
France,fr,bnf,14,2,23414.69793435248
France,fr,tax,14,2,2211.139960804615
France,fr,sct,14,2,4.804269599666694
France,fr,bdn,14,2,2215.944231996366
France,fr,bfn,14,2,21198.75370601059
France,fr,bf0,14,2,21198.75370601059
France,fr,min,15,2,486.9613144798882
France,fr,bnf,15,2,22301.41985991841
France,fr,tax,15,2,2187.829997449768
France,fr,sct,15,2,13.4256873281643
France,fr,bdn,15,2,2201.255683928017
France,fr,bfn,15,2,20100.16420851662
France,fr,bf0,15,2,20224.72764616406
France,fr,min,16,2,665.0090131103966
France,fr,bnf,16,2,22310.51216988806
France,fr,tax,16,2,2102.681267677474
France,fr,sct,16,2,25.52029287910483
France,fr,bdn,16,2,2128.201560522026
France,fr,bfn,16,2,20182.31060943097
France,fr,bf0,16,2,20270.62438207829
France,fr,min,17,2,878.48564056014
France,fr,bnf,17,2,22472.22845904264
France,fr,tax,17,2,2275.107605782308
France,fr,sct,17,2,29.99550679776051
France,fr,bdn,17,2,2305.103114546768
France,fr,bfn,17,2,20167.12533369271
France,fr,bf0,17,2,20199.70529119614
France,fr,min,18,2,1126.213158291108
France,fr,bnf,18,2,21925.38773672882
France,fr,tax,18,2,2211.764316017338
France,fr,sct,18,2,39.69463816371375
France,fr,bdn,18,2,2251.45895386602
France,fr,bfn,18,2,19673.92878958061
France,fr,bf0,18,2,19685.99026763601
France,fr,min,19,2,1437.810630099491
France,fr,bnf,19,2,22153.47581619781
France,fr,tax,19,2,2506.218653188965
France,fr,sct,19,2,71.42647891755072
France,fr,bdn,19,2,2577.645128714225
France,fr,bfn,19,2,19575.83065858755
France,fr,bf0,19,2,19581.87973479068
France,fr,min,20,2,1790.146210379151
France,fr,bnf,20,2,20723.83066297148
France,fr,tax,20,2,2026.797928072176
France,fr,sct,20,2,104.7330144279391
France,fr,bdn,20,2,2131.530943772454
France,fr,bfn,20,2,18592.29969163611
France,fr,bf0,20,2,18621.98683663847
France,fr,min,21,2,2217.843107078503
France,fr,bnf,21,2,20321.32807406125
France,fr,tax,21,2,2256.047098578985
France,fr,sct,21,2,139.6548552229315
France,fr,bdn,21,2,2395.701952309037
France,fr,bfn,21,2,17925.62613230572
France,fr,bf0,21,2,17979.04263846252
France,fr,min,22,2,2679.349193903187
France,fr,bnf,22,2,20439.51878416271
France,fr,tax,22,2,2367.647329966137
France,fr,sct,22,2,197.140681824456
France,fr,bdn,22,2,2564.788012173465
France,fr,bfn,22,2,17874.7307621014
France,fr,bf0,22,2,17938.82671792971
France,fr,min,23,2,3260.789372431623
France,fr,bnf,23,2,19672.45485133325
France,fr,tax,23,2,2145.200682460031
France,fr,sct,23,2,200.5243433389892
France,fr,bdn,23,2,2345.725024384332
France,fr,bfn,23,2,17326.72982462242
France,fr,bf0,23,2,17346.72148203215
France,fr,min,24,2,3854.524707457098
France,fr,bnf,24,2,18512.13323206712
France,fr,tax,24,2,2098.157397578227
France,fr,sct,24,2,262.6135653707958
France,fr,bdn,24,2,2360.770961319407
France,fr,bfn,24,2,16151.36227939926
France,fr,bf0,24,2,16165.20983732584
France,fr,min,25,2,4446.718074671769
France,fr,bnf,25,2,17623.70014387815
France,fr,tax,25,2,2131.051657754002
France,fr,sct,25,2,346.296018738017
France,fr,bdn,25,2,2477.34767413927
France,fr,bfn,25,2,15146.35247723469
France,fr,bf0,25,2,15247.57293148262
France,fr,min,26,2,5049.258892835682
France,fr,bnf,26,2,15613.97101795155
France,fr,tax,26,2,1922.463800941219
France,fr,sct,26,2,378.5234229226493
France,fr,bdn,26,2,2300.987217745446
France,fr,bfn,26,2,13312.98379664793
France,fr,bf0,26,2,13427.54453786797
France,fr,min,27,2,5638.5341836331
France,fr,bnf,27,2,16114.11587857219
France,fr,tax,27,2,1955.245225218364
France,fr,sct,27,2,489.4494907666179
France,fr,bdn,27,2,2444.694715188415
France,fr,bfn,27,2,13669.42116294396
France,fr,bf0,27,2,13711.37342477093
France,fr,min,28,2,6307.886694807062
France,fr,bnf,28,2,14515.37537179584
France,fr,tax,28,2,1890.687113606631
France,fr,sct,28,2,498.7136548476202
France,fr,bdn,28,2,2389.400767473426
