cname,iso2,iso3,group,grtype,aisolt,xisolt
France,fr,fra,1,1,.0866010719457223,.1214963031228374
France,fr,fra,2,1,.0728707661527472,.1309677554459604
France,fr,fra,3,1,.0667938556410139,.134922650116434
France,fr,fra,4,1,.067971411514296,.1353256371087452
France,fr,fra,5,1,.0683390726850024,.1367271688581128
France,fr,fra,6,1,.0747686571892115,.1341673396258156
France,fr,fra,7,1,.0833844845615258,.1319115651841627
France,fr,fra,8,1,.0743518918676243,.135412252105263
France,fr,fra,9,1,.0728126990452872,.1412681425040879
France,fr,fra,10,1,.0732325223656355,.1494441306342533
France,fr,fra,1,2,.0900601048670293,.1221460152841674
France,fr,fra,2,2,.0975389819797885,.1176378848883921
France,fr,fra,3,2,.,.
France,fr,fra,4,2,.,.
France,fr,fra,5,2,.,.
France,fr,fra,6,2,.,.
France,fr,fra,7,2,.0785763589300151,.1207974156052571
France,fr,fra,8,2,.,.
France,fr,fra,9,2,.0186692863681064,.1754844827527709
France,fr,fra,10,2,.079623983462763,.1181865553314103
France,fr,fra,11,2,.0831419985931703,.125392995245636
France,fr,fra,12,2,.074654214670536,.1275659504731444
France,fr,fra,13,2,.0735244448958344,.1247213630362495
France,fr,fra,14,2,.0686633383277861,.1386209858322418
France,fr,fra,15,2,.0783562873812435,.1260168246350242
France,fr,fra,16,2,.0635407261101351,.1358733008965995
France,fr,fra,17,2,.0682735303121376,.133003513539816
France,fr,fra,18,2,.0619431068737364,.1377516244134409
France,fr,fra,19,2,.0841919794905285,.1315095295024574
France,fr,fra,20,2,.0717087206738369,.130981207154842
France,fr,fra,21,2,.0608743871354842,.1390731615670071
France,fr,fra,22,2,.069475340641755,.1324171361781396
France,fr,fra,23,2,.0613613012762672,.1326238758045917
France,fr,fra,24,2,.0647334944955674,.1344269433134237
France,fr,fra,25,2,.0643573805883215,.1382372930474534
France,fr,fra,26,2,.0718883006866652,.1344280860329276
France,fr,fra,27,2,.0583364950752365,.1377140324110572
France,fr,fra,28,2,.0714706565846722,.1312378189353852
France,fr,fra,29,2,.0657821487842476,.1358945341065466
France,fr,fra,30,2,.0793120317546928,.1334125495215532
France,fr,fra,31,2,.0669930078330424,.1388080435966877
France,fr,fra,32,2,.0620205297540237,.1349020059830295
