cname,iso2,iso3,year,rtt1,rtt2,rtt3,rtt4,rtt5,rtt6,rtt7,rtt8,rtt9
France,fr,fra,2010,0,0,.0070006276590966,.0013832357407255,0,.0003327048236755,0,0,.0015879648976181
France,fr,fra,2011,.0002164547956907,0,.0064751462396946,.0009170742688491,0,.0010048625187823,0,0,.0013052410807422
France,fr,fra,2012,.0001064068978811,0,.0050000036816162,.0005875832004125,.0002002606748416,0,.0000954844873901,0,.0025554709646038
France,fr,fra,2013,.0001295657310962,0,.000435862909918,0,0,0,0,0,0
France,fr,fra,2014,.0002029932217858,0,.0014649710534863,.0001915818761398,0,0,0,0,.0022449610522175
France,fr,fra,2015,.0001044467530078,0,.0013101053428332,.0001030246228741,0,0,0,0,0
France,fr,fra,2016,.0001469244777146,0,.0009991878037877,.0001205514339195,0,0,0,0,.0033209291579158
France,fr,fra,2017,0,.0001420995020091,.0012460543513541,0,.0001099459268558,0,0,0,.0016505348340099
France,fr,fra,2018,.7432383474768275,.9074401821966845,.5874047398662695,.7057877721604677,.8202743022233694,.7750898040352413,.8399858243110204,.8567885714040093,.7803985440574526
France,fr,fra,2019,.7572647240840824,.9108604538774359,.5714153177967746,.6821517233069371,.81784191637112,.777279886019464,.8372044411405125,.8431479210094801,.768655335952645
Japan,jp,jpn,2010,.0792755086607346,.1210921423223537,.0885791039360099,.1129632078624853,.1294474543528826,.2511004053501216,.1581346064973122,.146306724024967,.0820299551547228
Japan,jp,jpn,2011,.1380327516101931,.0778077907713259,.1498933538886875,.1519610767712791,.1667777239631427,.3764556691113922,.1918049712097543,.2082282479176178,.1652327200733842
Japan,jp,jpn,2012,.1860522501721056,.110333123177193,.1368453707912376,.1444834324282515,.1476771519956819,.3129925698816784,.1469675599917351,.1448500598728361,.1697054206981643
Japan,jp,jpn,2013,.111991847939921,.0838503979203917,.1173741843912025,.0976961762883824,.1153661446189331,.2975053180100066,.1424932760361286,.1032859208905039,.1641407647947541
