cname,iso2,iso3,group,grtype,abhlth,xbhlth
France,fr,fra,1,1,.1021606220022662,.1837012803292745
France,fr,fra,2,1,.1040953002742293,.2144518956200354
France,fr,fra,3,1,.0903670225500812,.2081197250341176
France,fr,fra,4,1,.064302260384234,.1726575654628621
France,fr,fra,5,1,.0353018482990518,.1313767514388542
France,fr,fra,6,1,.0273578451492366,.11429077858916
France,fr,fra,7,1,.0249334872135491,.1048566586369829
France,fr,fra,8,1,.0210161898897653,.1062809424713818
France,fr,fra,9,1,.0214117436683259,.1140652117106733
France,fr,fra,10,1,.023123834016939,.1286598124764225
France,fr,fra,1,2,.1042885492443705,.190138784078305
France,fr,fra,2,2,.1049865114424897,.173682443093543
France,fr,fra,3,2,.,.
France,fr,fra,4,2,.,.
France,fr,fra,5,2,.,.
France,fr,fra,6,2,.,.
France,fr,fra,7,2,.1039424763879558,.1835638888821831
France,fr,fra,8,2,.,.
France,fr,fra,9,2,.027996204569196,.2681200467120865
France,fr,fra,10,2,.112845380337732,.188693604319885
France,fr,fra,11,2,.1005472794149535,.1966168983509655
France,fr,fra,12,2,.1070408923695123,.2073843530311834
France,fr,fra,13,2,.106681981742295,.1954170658873491
France,fr,fra,14,2,.0885692750943389,.2247226161659002
France,fr,fra,15,2,.1150344767687597,.2106912739003663
France,fr,fra,16,2,.0992342819732052,.2215636169246591
France,fr,fra,17,2,.1005215448020753,.2173175114142149
France,fr,fra,18,2,.1013695801076423,.2292667833099244
France,fr,fra,19,2,.1073197915849146,.2212684067979347
France,fr,fra,20,2,.1086708828710816,.2198494114354019
France,fr,fra,21,2,.0930979214722391,.219216865425179
France,fr,fra,22,2,.0996086225518171,.2133445647052802
France,fr,fra,23,2,.0976847802223299,.2057245508906559
France,fr,fra,24,2,.0978639268963205,.2141492603088081
France,fr,fra,25,2,.0912288380120076,.2152505154333916
France,fr,fra,26,2,.0956755634082473,.2103991097517572
France,fr,fra,27,2,.0856783682086796,.2106654410707947
France,fr,fra,28,2,.0867944398020166,.1966466777362554
France,fr,fra,29,2,.0775940320021284,.2004284954506376
France,fr,fra,30,2,.0784042155386837,.1957259804363072
France,fr,fra,31,2,.0813676351875236,.1995977568687013
France,fr,fra,32,2,.0741674571981343,.1899258617883414
France,fr,fra,33,2,.075743265439457,.1868234449765982
France,fr,fra,34,2,.0614148554821078,.1761114302572653
France,fr,fra,35,2,.0657183863002733,.1688528704190526
France,fr,fra,36,2,.0639839261353129,.1714656246656212
France,fr,fra,37,2,.0607636229290603,.164696582678657
France,fr,fra,38,2,.0604033619319036,.1676375692234512
France,fr,fra,39,2,.0494066761495572,.1573333220493756
France,fr,fra,40,2,.0500357786667509,.1441170573155431
France,fr,fra,41,2,.0458665115588067,.146319957263109
France,fr,fra,42,2,.0411406116474047,.1488925242854862
France,fr,fra,43,2,.0449057772361076,.1446696365344722
France,fr,fra,44,2,.0383131835542378,.1227105402852944
France,fr,fra,45,2,.034525835044215,.1204212497208705
France,fr,fra,46,2,.0308897611354017,.1269193393631035
France,fr,fra,47,2,.0292590952830026,.1262184426202964
France,fr,fra,48,2,.0313806525423924,.1221025045753422
France,fr,fra,49,2,.0300682361210771,.1291938455781033
France,fr,fra,50,2,.0266552157078874,.1263263703610621
France,fr,fra,51,2,.0287303320949342,.1237506369660825
France,fr,fra,52,2,.0296998045777989,.1289595837660525
France,fr,fra,53,2,.0264504832979616,.1191267652623487
France,fr,fra,54,2,.0256385224227615,.1141324858345098
France,fr,fra,55,2,.0328030149603293,.1122956428803998
France,fr,fra,56,2,.0276147493754016,.1139706746991699
France,fr,fra,57,2,.0231660996327665,.1119872515603714
France,fr,fra,58,2,.0241636579763234,.105509266820497
France,fr,fra,59,2,.0271664258781759,.1142825148662993
France,fr,fra,60,2,.028115928622768,.0989427351371105
France,fr,fra,61,2,.0274657532275112,.1036555272566277
France,fr,fra,62,2,.0219048018699622,.1047696097761583
France,fr,fra,63,2,.0229500997770527,.1013691482658178
France,fr,fra,64,2,.0250470262317105,.1066549533202086
France,fr,fra,65,2,.0295635102717962,.1025790251584207
France,fr,fra,66,2,.0246701929964674,.1006210748313708
France,fr,fra,67,2,.0248348515576259,.1037100278814556
France,fr,fra,68,2,.0241148766852773,.1109076593157896
France,fr,fra,69,2,.0245147219917045,.1070906662324288
France,fr,fra,70,2,.0242808014928331,.1072174970462873
France,fr,fra,71,2,.0222151056757418,.1060926714736506
France,fr,fra,72,2,.0197280638997441,.1003896696302735
France,fr,fra,73,2,.0196046275072891,.1035420958984528
France,fr,fra,74,2,.0218728015340207,.1072777300977351
France,fr,fra,75,2,.0205851486481817,.1058261086012165
