cname,iso2,iso3,year,caret1,caret2,caret3,caret4,caret5,caret6,caret7,caret8,caret9,disabled
France,fr,fra,2010,1,1,0,0,.1478773430725741,.1638099068947411,.1908421579914852,.0487186546148943,.3388633604608357,0
France,fr,fra,2011,1,1,0,0,.1516109104574048,.1601807684277643,.1906550665921931,.0486201202431372,.3647871916987928,0
France,fr,fra,2012,1,1,0,0,.1533626425653568,.1545322205340729,.1914644937957818,.0418428695611945,.3519652449234674,0
France,fr,fra,2013,1,1,.6547773510753412,.6520707362654585,.7272791074168061,.8222260199663634,.800834606474106,.7212571831008208,.8243682193572891,33823
France,fr,fra,2014,1,1,.6566642677207565,.6518831413617902,.7286003215970086,.8230671517872856,.8046507368613387,.7212891674079901,.8407631143154828,33910
France,fr,fra,2015,1,1,.654730381878138,.6569280902952004,.7298995212087692,.8240292588630675,.8017812698536225,.7268004213255731,.8359351839779985,34408
France,fr,fra,2016,1,1,.6547024419842961,.652271807135241,.72235822536782,.8292338783226212,.8041138591428618,.7432556301907015,.8693538371269875,34637
France,fr,fra,2017,1,1,.6641283343949735,.6384971697937225,.7279935722062938,.8168529593792101,.7944816637400628,.7345685039084814,.8460182855865049,35062
France,fr,fra,2018,1,1,.6592922978791115,.649351448410014,.7350423536369219,.8133993364439059,.8016414842861734,.7172520468887791,.8528829139901426,33383
France,fr,fra,2019,1,1,.6671532647401208,.6499167200652628,.7371442539586074,.8261667763397594,.7978295250571776,.7094478451913209,.8427086052607365,34098
Japan,jp,jpn,2010,1,1,0,0,.2398012690240352,.109085454043676,.1381571939606336,.1704535048078268,.3599078311876789,0
Japan,jp,jpn,2011,1,1,0,0,.2476433935030606,.1073133416188553,.1532577950332432,.1556581426811104,.3538047495578039,0
Japan,jp,jpn,2012,1,1,0,0,.250847822748798,.0594448943031531,.1482907664643228,.155234271215531,.3549955908408964,0
Japan,jp,jpn,2013,1,1,0,0,.2690283986591434,.0535308563199368,.1363767517319879,.1518486484908606,.366429222791495,0
Japan,jp,jpn,2014,1,1,0,0,.2786772426733367,.0519434517876822,.1410743958803716,.1447793301253416,.3782229243527983,0
Japan,jp,jpn,2015,1,1,0,0,.280207601422177,.0738106601863868,.142229521539985,.1353820417217665,.3622621547737149,0
Japan,jp,jpn,2016,1,1,.0034600457946882,.0284293152658397,.2963553838689818,.1295601845592594,.1343314732354629,.1560564058835158,.3945257206094837,13743
Japan,jp,jpn,2017,1,1,.0194423681939107,.0079980272435296,.2961882448479922,.1040365204606374,.1294051240597044,.1608459551525632,.3724363994497387,12658
Japan,jp,jpn,2018,1,1,.0252066374607332,.0146668228718973,.2769251190497601,.0420206698139692,.152754092141502,.1447564688314884,.3719400920003694,18466
Japan,jp,jpn,2019,1,1,.0187719432334049,.0085893748886295,.2882792008313058,.0527511821655035,.146943509517874,.1468843972288704,.3820695421057059,16121
South Korea,kr,kor,2012,1,1,0,0,.1540667877221868,.186811112857683,.1584003363396838,.101269066113782,.3327649074435987,0
South Korea,kr,kor,2014,1,1,0,0,.1609415121155225,.1973027611043875,.1630102325158254,.0993304022306122,.3735459485657983,0
South Korea,kr,kor,2016,1,1,.066878347080695,.0481279646442112,.1460508854257054,.1389310141276623,.1709579685695104,.0897606533031656,.3365583902454324,49518
South Korea,kr,kor,2017,1,1,.0689324002656101,.0444483439685904,.1538543723643994,.1325771056316975,.1652909544410512,.0862581753806733,.3531073853353574,48590
South Korea,kr,kor,2018,1,1,.0674874453539789,.0439574063712478,.1531561419253907,.1325293913930354,.1582673217060704,.0850819798033326,.3299254456291238,46847
South Korea,kr,kor,2019,1,1,.0567074413025722,.0406448203325508,.1603499121995521,.1109624711019901,.150567992773635,.078369607123388,.3210349491387278,45095
Sweden,se,swe,2010,1,1,0,0,.1461833656767146,.17720753178356,.2022896486684059,.030026492305102,.3279186851672867,0
Sweden,se,swe,2011,1,1,0,0,.1462565807486531,.1665039982625109,.1983888063800033,.0309825154470827,.3196713000279627,0
Sweden,se,swe,2012,1,1,0,0,.1425193278546958,.1620316936174302,.1998750870644538,.0311937638175137,.3101182755629817,0
Sweden,se,swe,2013,1,1,0,0,.1638951318899204,.1317099706749129,.2000417077843434,.0299979668729349,.2544582510706275,0
Sweden,se,swe,2014,1,1,0,0,.1699726628951516,.1382039910181288,.1965557564051058,.0340554328062461,.2649628441855359,0
Sweden,se,swe,2015,1,1,0,0,.1572111145581267,.1221604244981782,.1922572818493261,.0493904179704027,.2951337956592403,0
Sweden,se,swe,2016,1,1,0,0,.1750007292898455,.1302335968309579,.1885154099670871,.0374611036936083,.3900435449310161,0
Sweden,se,swe,2017,1,1,0,0,.1825034587474365,.1335278911516381,.1885021583980729,.046990632685175,.2515899533168097,0
Sweden,se,swe,2018,1,1,0,0,.1899796714172031,.1564482966255318,.1840942291316092,.0299650193928685,.2855771790063772,0
Sweden,se,swe,2019,1,1,0,0,.1785142908978344,.1895190352720045,.1811580048427443,.0314183006957105,.2682405223886934,0
United Kingdom,uk,gbr,2010,1,1,.2905166133063193,.1447062069268934,.2537505353584105,.3127245731836429,.2595886090179758,.1668603876981389,.4461293834024461,57928
United Kingdom,uk,gbr,2011,1,1,.2990840920462886,.1549471294581516,.2487053629837057,.3309558670913448,.2558541983504545,.1836100922440777,.3941617403282395,47743
United Kingdom,uk,gbr,2012,1,1,.1758028552676807,.0768285130668784,.1996450015733115,.2880065843694189,.2238595114372426,.1105603648783742,.3565528198795038,46420
United Kingdom,uk,gbr,2013,1,1,.1850542250392135,.0695481368344847,.1939112884263242,.2841827314135411,.2313066548588973,.1248141273932329,.4233003201825861,46166
United Kingdom,uk,gbr,2014,1,1,.1915355011926246,.078971282584431,.1943586865997287,.2812683320351743,.226350407823493,.138498381327476,.3908440816529806,44787
United Kingdom,uk,gbr,2015,1,1,.1932091065186178,.0737776729012044,.1979853847822849,.2846221183844446,.2266077904284418,.1404310479110652,.4079421037679145,43678
United Kingdom,uk,gbr,2016,1,1,.1976253227430833,.0821347746892503,.2095831574166179,.2745898054446397,.2306192620640501,.1281300213394602,.3992862728424679,44145
United Kingdom,uk,gbr,2017,1,1,.1864159625135871,.0795344306555369,.2075729980643715,.2895615031006533,.2329867567991604,.112260473492609,.3798125771918135,42847
