cname; iso2; iso3; year; ehipubsocq0; ehipubsocq1; ehipubsocq2; ehipubsocq3; ehipubsocq4; ehipubsocq5;
Belgium; be; bel; 2003; 23559337708.56672; 5274659456.724694; 4473913237.360363; 6743675319.200434; 3659292587.239711; 2498498449.348186;
Belgium; be; bel; 2004; 25707450848.40178; 5918121966.083884; 4938373569.820732; 6989443692.477871; 4194936617.838231; 2477103791.590438;
Belgium; be; bel; 2005; 24474094048.06268; 5186674351.221075; 5244930590.094117; 6705287681.053049; 4323139246.350825; 3014062179.343616;
Belgium; be; bel; 2006; 25612867698.50917; 5337845339.461262; 5413049899.872986; 7539313705.089433; 4287688588.679388; 3034970165.4061;
Belgium; be; bel; 2007; 25729855767.25711; 5358319630.990807; 4885086469.364107; 7939299472.649606; 4560826108.795638; 2986324085.456955;
Belgium; be; bel; 2008; 27147858366.35578; 6053485039.767584; 5462835451.508191; 7677365062.033288; 4821164400.430776; 3133008412.615944;
Belgium; be; bel; 2009; 28646781087.59446; 6127505178.604863; 5873655550.04131; 8189353116.445261; 4850819597.638841; 3605447644.864182;
Belgium; be; bel; 2010; 31282488229.3317; 7792089330.33731; 5689364302.322771; 8803870049.975756; 5188447930.861913; 3808716615.833953;
Belgium; be; bel; 2011; 31723009423.41467; 7732239663.139032; 5469421531.064332; 9087414829.216871; 5873073031.706927; 3560860368.287509;
Belgium; be; bel; 2012; 32382313183.4577; 8315858041.256034; 6012399349.179886; 8605881148.927961; 5824749039.609661; 3623425604.484163;
Belgium; be; bel; 2013; 32965526132.8233; 9013930873.844835; 5397163932.505516; 9461148831.576477; 5848710487.76709; 3244572007.129387;
Belgium; be; bel; 2014; 34736538590.7224; 8529623434.799437; 6687066383.577538; 9470367697.649334; 5925464050.635058; 4124017024.061029;
Belgium; be; bel; 2015; 34884416752.45029; 9260318168.064762; 5651496719.429796; 9634160005.954454; 5769867040.326157; 4568574818.675115;
Belgium; be; bel; 2016; 33676021140.52729; 8651711214.407488; 6056935564.916026; 9116039194.278353; 5703985965.336547; 4147349201.588873;
Belgium; be; bel; 2017; 34401936693.5556; 8756479360.556538; 5895445237.848596; 8813107489.392363; 5693370276.795228; 5243534328.962881;
Belgium; be; bel; 2018; 46133569702.25104; 6715544077.642385; 10699902115.20152; 12967892456.09988; 8595060522.390087; 7155170530.917162;
Belgium; be; bel; 2019; 46674465015.5432; 6676584971.601412; 10536286184.01451; 13690362023.35938; 8753888946.550728; 7017342890.017174;
Belgium; be; bel; 2020; 59492720196.7663; 7656619715.506782; 11854043634.41569; 18396335262.5965; 12013207536.36119; 9572514047.886141;
