cname,iso2,iso3,group,grtype,aunemp,xunemp
France,fr,fra,1,1,.0162255068704908,.0318803369151485
France,fr,fra,2,1,.0110865271159432,.0209882529429612
France,fr,fra,3,1,.0125409511913835,.0324001529148225
France,fr,fra,4,1,.0198640475501189,.0625105946655202
France,fr,fra,5,1,.0235918139305495,.105787403946982
France,fr,fra,6,1,.0274481149981018,.1168134019801437
France,fr,fra,7,1,.0274033430434389,.1237469832935035
France,fr,fra,8,1,.0233964550195238,.1307074836039106
France,fr,fra,9,1,.0195346543763051,.1318756892200933
France,fr,fra,10,1,.0161625352236553,.1247408588657641
France,fr,fra,1,2,.0147376143085881,.0277146491126785
France,fr,fra,2,2,.0166124417367207,.034868994193221
France,fr,fra,3,2,.,.
France,fr,fra,4,2,.,.
France,fr,fra,5,2,.,.
France,fr,fra,6,2,.,.
France,fr,fra,7,2,.016966346755175,.0307768975441409
France,fr,fra,8,2,.,.
France,fr,fra,9,2,.0078026491050554,.031123236332057
France,fr,fra,10,2,.0176564525379823,.0255443337793211
France,fr,fra,11,2,.0176970784536882,.0299475095325743
France,fr,fra,12,2,.0123279549804628,.021648967410315
France,fr,fra,13,2,.0134185368050368,.0259123972103155
France,fr,fra,14,2,.012056034509228,.0248863569929431
France,fr,fra,15,2,.0113921698387363,.0178584924913898
France,fr,fra,16,2,.0099309326866263,.0206153167572226
France,fr,fra,17,2,.0107001090317043,.0219283565755086
France,fr,fra,18,2,.0062644898774592,.0175660929382845
France,fr,fra,19,2,.0080853467606638,.0151999690150953
France,fr,fra,20,2,.0099943464423728,.0173259795776477
France,fr,fra,21,2,.0083427016424186,.0257546128414761
France,fr,fra,22,2,.011936379861256,.0248292730099571
France,fr,fra,23,2,.0139910285520732,.0296821459336339
France,fr,fra,24,2,.0118945631027706,.0254950300393196
France,fr,fra,25,2,.0106398349409178,.0295273234332868
France,fr,fra,26,2,.0096369836134575,.0306310734351663
France,fr,fra,27,2,.0130502021227497,.0345915919269779
France,fr,fra,28,2,.0151737546784394,.0387826278809309
France,fr,fra,29,2,.0151483774967663,.0411695697669443
France,fr,fra,30,2,.0154099229627094,.0434300000630396
France,fr,fra,31,2,.0132217967832552,.0418795859482055
France,fr,fra,32,2,.0193181099136076,.0446721930316391
France,fr,fra,33,2,.0156016355381455,.0479140538672788
France,fr,fra,34,2,.0195260107636322,.0665348128193892
France,fr,fra,35,2,.0187941080372583,.0605703888262793
France,fr,fra,36,2,.0192651272155765,.0659619403430604
France,fr,fra,37,2,.0213517721538774,.0707989324212368
France,fr,fra,38,2,.0209961143860905,.0651330010889784
France,fr,fra,39,2,.0228017157374641,.0803042373000177
France,fr,fra,40,2,.027773046510231,.0813273563613115
France,fr,fra,41,2,.0231736983470299,.0915974401744782
France,fr,fra,42,2,.019588710047777,.0959873479191563
France,fr,fra,43,2,.0237199585459614,.093418546216974
France,fr,fra,44,2,.0265263643367465,.1006291919210036
France,fr,fra,45,2,.024894878701186,.1070319469164476
France,fr,fra,46,2,.0234772535189815,.1075693372091144
France,fr,fra,47,2,.0226126710216415,.1208758155199249
France,fr,fra,48,2,.0266015732394267,.1097646057483933
France,fr,fra,49,2,.0212828664550639,.1097075184182992
France,fr,fra,50,2,.0240336226923545,.1213111745319507
France,fr,fra,51,2,.0266988309094651,.1114039425006829
France,fr,fra,52,2,.0214940775981444,.1094167352706391
France,fr,fra,53,2,.0245251752076065,.1163725944254561
France,fr,fra,54,2,.0269242175369186,.1197881728522599
France,fr,fra,55,2,.0279359804530436,.1108074787055444
France,fr,fra,56,2,.0286401488169004,.1173478656282596
France,fr,fra,57,2,.0257251174162795,.1230903296832638
France,fr,fra,58,2,.0280458389138113,.1229356539816715
France,fr,fra,59,2,.0315498588901044,.1153054024830378
France,fr,fra,60,2,.0329173453675381,.1216808837291834
France,fr,fra,61,2,.0297088768017577,.1186802696270854
France,fr,fra,62,2,.0271640641224844,.129757992506945
France,fr,fra,63,2,.0263148041178015,.1282555300617507
