cname,iso2,iso3,year,pv6t1,pv6t2,pv6t3,pv6t4,pv6t5,pv6t6,pv6t7,pv6t8,pv6t9
France,fr,fra,2010,.8985952096921623,.862044290149482,.4034514194096562,.2499605829359285,.316345558635221,.5550938015881514,.1774486703971162,.1999863019430713,.5183337765452266
France,fr,fra,2011,.8957671801680915,.8616111714813338,.3960475325091282,.2512046298455903,.3141138449021081,.5300872296541898,.1831048536721445,.2007604429746147,.5293839274817339
France,fr,fra,2012,.8991949987427909,.8570650483606904,.4019132312777657,.2432475848214317,.3125353964202587,.5401018329102214,.1878504974720714,.2132457914182559,.4929066397898395
France,fr,fra,2013,.9024562798797697,.8633202646382075,.384666806883868,.2306458220318394,.312766982418048,.5199394923890432,.1874901303607132,.1858154272970999,.5359963887901474
France,fr,fra,2014,.9095338990395396,.8637946371733323,.3842624187865769,.2265922161246582,.3218726500380357,.5305675600811939,.1726346421893889,.2056577355770076,.5606274106159427
France,fr,fra,2015,.8913770279598009,.8829832743323413,.3911294376765043,.2263608954365963,.3257457924724804,.4983294840037615,.1760638338144652,.2086953147961401,.5408205454077396
France,fr,fra,2016,.8963162797932821,.8671851782606118,.3958066868150786,.2171899197562962,.3196809386216237,.5273968631310423,.1816456324665274,.2063708595817821,.4617713673096402
France,fr,fra,2017,.8961254964753607,.8687333643020182,.3966386920149881,.210591606229877,.3195292737018894,.5127085078291548,.1779072883153645,.2048795589751873,.4986385945339146
France,fr,fra,2018,.9110805261994332,.8883202310535449,.3901113312940268,.2070216796146121,.3065174704606286,.5008563547930482,.1815935552130869,.1912031822815641,.5779816962682218
France,fr,fra,2019,.9078732730492965,.8850729495332492,.3816248598952722,.1999256702591918,.3091707105081143,.4893680091482225,.1816261410001484,.1809562074155182,.6018391121234339
Japan,jp,jpn,2010,.5800099159432052,.2252271717762912,.270432246442088,.128718082735424,.1740354048170437,.5248573218171376,.1386899657566852,.2103808905977765,.1991985054641671
Japan,jp,jpn,2011,.5459240726294058,.2449368055628478,.3183502022099753,.1598968597179841,.1791480568552942,.3934149199692128,.1339978523307224,.2282269785224727,.2338676223855234
Japan,jp,jpn,2012,.5188381574389302,.2686309789188325,.3041364381686121,.115117085481765,.1796169068706442,.4780693227079962,.1668107418513123,.190592491316812,.1668625189446445
Japan,jp,jpn,2013,.5813313720472366,.1865189772566259,.3049587846884571,.1023822212141839,.1940238935044777,.4787061374677952,.1281483944120324,.1815566827905273,.1399534107784845
Japan,jp,jpn,2014,.5283664059351147,.2102236655728412,.2994581653616313,.1226525038195436,.1766822491088191,.437124020688122,.1140359013663006,.1572142384489223,.1264187429250979
Japan,jp,jpn,2015,.5613794754760412,.2726096369303745,.247541424729732,.1541949284785118,.1827632634893458,.3382228620945256,.1205475261188349,.1755566331284281,.2111622480868408
Japan,jp,jpn,2016,.5041907411509722,.2308794831802759,.247027137972147,.0940603232525936,.2000931711839686,.5532620369488678,.0950760538425564,.1377562919860818,.3192886560025159
Japan,jp,jpn,2017,.5547094686425965,.2839949654905168,.2220674088651693,.0827199908114441,.182952018070929,.419845899033243,.102301399914669,.1121536771957439,.3368518048414507
Japan,jp,jpn,2018,.5337366193625214,.2366851515637871,.238057716872762,.0743179674038513,.2076681132841834,.3330876536179769,.0969056123050046,.2099446743941661,.1736979637957869
Japan,jp,jpn,2019,.5272071347881618,.2532414672861217,.1877592134207472,.06722270476133,.2151597174021421,.3106623963083114,.098625725535504,.2034676387590272,.1586627114070881
South Korea,kr,kor,2012,.9064517888362972,.8574450676117622,.3385449907885842,.2220055223798678,.1881400380830596,.3531089317223612,.1127516818732926,.1198371756722643,.2858594652490732
South Korea,kr,kor,2014,.9102511680948066,.8123595992480266,.3411075124333976,.1769377187190401,.213172091766158,.3425061347660046,.0913916192419057,.1004340152742873,.3357376347317467
