cname,iso2,iso3,year,pv6t1,pv6t2,pv6t3,pv6t4,pv6t5,pv6t6,pv6t7,pv6t8,pv6t9
South Korea,kr,kor,2016,.8549507455994256,.6242647461676551,.4306205396495704,.2215856122938112,.1526988785689326,.7502831620652346,.1891228212348174,.1663861087210906,.2097701103443909
South Korea,kr,kor,2017,.8368385854629348,.6093494718187723,.4030681743450291,.2207256741374348,.1552727876293048,.6947069412244128,.1782551398537854,.1510291398259397,.2111211111098266
South Korea,kr,kor,2018,.8452668328539594,.6131881476435485,.392418582861003,.2139599532373973,.1370729308133838,.6622488397790386,.1648324060594437,.1491716780292805,.1813566244479394
South Korea,kr,kor,2019,.826154412112943,.5841247988939615,.3988521455764113,.209540414063223,.1458030774362618,.6314322073790919,.152620365022634,.119218657406521,.1668411449050962
Sweden,se,swe,2010,.8837518070489602,.7537017962727259,.3907576134344108,.1267477823025327,.1701876669384649,.4903241449026002,.1595486002658843,.1182933359212424,.2720679015388401
Sweden,se,swe,2011,.889100152131671,.7412504792251986,.3710877043187182,.1196719027903417,.1523188718574542,.4806983232827239,.1651448115751449,.1278750933020796,.3117469756677695
Sweden,se,swe,2012,.878690054235536,.7159419589541244,.368415242311695,.1132663332856174,.148519274347082,.4509938655482748,.1559179859023218,.1140758175603005,.260059853890023
Sweden,se,swe,2013,.8749902898901223,.7166982899290362,.4443285621905793,.1123678606955746,.1746974628518236,.4432021693778846,.1818217843694206,.1490891396927032,.2293954448154472
Sweden,se,swe,2014,.883028292147781,.7399993773535949,.4258830416406652,.1288906749289488,.1918117346586065,.4280666880151181,.1445802776805732,.2430380937829698,.4170043423608542
Sweden,se,swe,2015,.8900708616120572,.7275157113952644,.4133236198020836,.1219812971772618,.1660067898354348,.4280839790464248,.146471708213132,.2180572666607286,.542912783479878
Sweden,se,swe,2016,.8728148702413359,.7289569516368087,.4191228417072038,.1046494897851044,.1698273832678439,.3947512712743192,.1599772647821943,.2392855008875787,.6180646650142713
Sweden,se,swe,2017,.8570056544552236,.7202190781485442,.4200867704774716,.1163732049187627,.1637065646227822,.3843417930951878,.1686806079183783,.197609696164118,.4153581911079196
Sweden,se,swe,2018,.8491801761100297,.6705960886230242,.3659735882520261,.0954842523849405,.1680094983376442,.3876987608410376,.1855748020042394,.1632173403140245,.630144047600146
Sweden,se,swe,2019,.8380628264375369,.7277381203032696,.3519537259694029,.1167052932991738,.1899608712471495,.4293371412923664,.1720738982309878,.188471689977041,.623900570737577
United Kingdom,uk,gbr,2010,.8306248074353587,.6900548725569952,.4164811390765129,.1538376367867589,.2385959023775659,.7911516607001912,.2630596013196882,.2371397537942218,.5825903506529323
United Kingdom,uk,gbr,2011,.8317009802327465,.6528902635292818,.424669924279088,.1544055108521325,.2117265853543666,.7949590843408955,.2629344151071822,.2734628281786236,.5022089721508702
United Kingdom,uk,gbr,2012,.8071340748296091,.643894492487658,.4038563228612699,.1649275540315233,.2182480600733027,.7954343453603808,.2750997918392532,.2330081340561364,.4653450662448092
United Kingdom,uk,gbr,2013,.8062213356348783,.6198760294928717,.3966937261792185,.1368262409487223,.2090080136818163,.7934930834763269,.2642497995376597,.2626858536844461,.5943486795037208
United Kingdom,uk,gbr,2014,.8066898854724684,.6061001369819796,.386785441387207,.1448072535381496,.1871790154317525,.8017730401380825,.2726277778906848,.2788847475073341,.4282610291418924
United Kingdom,uk,gbr,2015,.790644993510083,.5973281817528563,.3798940311054192,.1419363961038353,.1998076849152438,.7982334227783473,.2556019077510102,.2652025212684798,.4820319046339188
United Kingdom,uk,gbr,2016,.78338661490872,.6104732708979945,.3831364651788994,.1377927644679004,.1989380738386894,.8035088860835242,.2717997868932467,.1992176022884303,.4605011462849431
United Kingdom,uk,gbr,2017,.8101739394872296,.6177321445258023,.3846520285428396,.1311383470732841,.2001051243510416,.814796180465025,.2525733500666189,.2148226328304682,.4179398778622234
United Kingdom,uk,gbr,2018,.80464475087903,.6139312401956617,.3650584628828674,.1345361019415698,.1922743002060723,.7703649086417754,.2426380649513229,.24017280600398,.4125287872830422
United Kingdom,uk,gbr,2019,.8093292462193297,.63700297640519,.3728535773288522,.1177275091228768,.1997834776596326,.7929786917141863,.2363173165698758,.2066355422214596,.4257195613974372
United States,us,usa,2010,.7983361953766256,.6604047038534859,.3664089144745832,.193834665864673,.27125195133355,.6495928555488761,.2642031268437841,.2846791050155097,.4120687693113966
United States,us,usa,2011,.7957811390290122,.6522017755709009,.3613968972946906,.2034904874642335,.2618900049815295,.6595229987341795,.2642499836218936,.2690731969125292,.4173858728665887
United States,us,usa,2012,.7971076834568614,.6546208473729157,.3633642634451237,.199428978420476,.2756475648444122,.6525886389638652,.2596800364903311,.2761401740967617,.4148213316592275
United States,us,usa,2013,.7966558665309564,.6469597282035774,.3685489238353484,.1989345738045132,.2757086034025821,.6489151261144407,.2508428674546193,.2656087387901774,.4069694070539756
United States,us,usa,2014,.7729269453469522,.6074722607643955,.3612232772205638,.1983065732614135,.2599261212708601,.6620673127541283,.2681152834326184,.2516165891374293,.4371061541866285
United States,us,usa,2015,.7770493943210285,.6199954603705932,.3683920832479853,.1829663052469022,.25458495881488,.669391101349182,.2656666004766694,.2550950304835206,.4262634373330386
United States,us,usa,2016,.7787166335982217,.6369347813791075,.3523803042079668,.1825360592404951,.2563138735156835,.6493830026593786,.2546964181670089,.247758116197324,.4190287737820512
United States,us,usa,2017,.7833025353771037,.6050666214308027,.3531799679913001,.1813494261591006,.2586495734138093,.6674495391425702,.2588391288068205,.2458234317155451,.3952657937628121
United States,us,usa,2018,.7644962986484527,.6031817371393489,.3555049780112328,.1823884083753629,.2543441663869064,.6501171864762216,.2481469668583227,.252657241266503,.4325145962047512
United States,us,usa,2019,.7772433454066402,.5807752183744451,.3541228506607167,.1725753231955346,.2562849215706514,.6490347868290354,.2399218900616589,.2530729560193298,.4260925618066177
