cname; iso2; iso3; year; edhiq0; edhiq1; edhiq2; edhiq3; edhiq4; edhiq5;
Belgium; be; bel; 2000; 142776667240.9983; 14556582051.95447; 7986296836.287109; 24161707147.66154; 33863654437.25895; 62208426767.8362;
Belgium; be; bel; 2003; 185102959862.2935; 15095343426.33515; 19073465475.41394; 36338270512.18536; 47400771617.36076; 67195108830.99834;
Belgium; be; bel; 2004; 202958373100.7302; 16280920147.25986; 20321993990.41207; 37836620168.96964; 49778197258.34135; 78740641535.74727;
Belgium; be; bel; 2005; 219084000119.4904; 16979500285.67905; 21920055334.13202; 41958691670.61987; 53792193442.3448; 84433559386.71469;
Belgium; be; bel; 2006; 227014454348.3976; 17543071482.79929; 24436278908.81421; 45194116673.58091; 55585703977.88997; 84255283305.31323;
Belgium; be; bel; 2007; 237267715388.9706; 18567326162.7223; 23734965535.28712; 46642234245.8978; 58862177540.41169; 89461011904.65175;
Belgium; be; bel; 2008; 250630892390.8907; 20318728476.0127; 25686114736.49271; 49914660761.14959; 62623749950.17896; 92087638467.05669;
Belgium; be; bel; 2009; 255389929376.0396; 21405988097.40292; 25456454045.8062; 50370431922.26125; 62205672117.54083; 95951383193.02835;
Belgium; be; bel; 2010; 262201397092.0098; 22979477263.89662; 24651306196.14675; 51027485596.15569; 65707022418.63412; 97836105617.17659;
Belgium; be; bel; 2011; 267189561925.3461; 23001550244.6109; 24874975944.35327; 51215466556.09716; 68037852935.6248; 100059716244.6599;
Belgium; be; bel; 2012; 287801230390.7738; 25180928019.90281; 27835662461.99528; 53336289110.32278; 72872493265.25653; 108575857533.2964;
Belgium; be; bel; 2013; 288923237073.5269; 28996864534.60777; 24214048149.51247; 52497953542.78524; 74767227685.33197; 108447143161.2894;
Belgium; be; bel; 2014; 291158215210.6075; 25296718254.94456; 30197603189.58467; 54903181903.50421; 73783064413.64525; 106977647448.9288;
Belgium; be; bel; 2015; 301681792259.6457; 27620316007.14916; 27462471370.24618; 56014612115.30388; 76483728515.76218; 114100664251.1843;
Belgium; be; bel; 2016; 304615536823.2924; 28531228050.58675; 27990484314.51722; 55260618200.0827; 76091749500.4305; 116741456757.6752;
Belgium; be; bel; 2017; 316391175858.4113; 27893961386.69276; 30208276539.95071; 58573561384.87836; 82459700535.54063; 117255676011.3488;
Belgium; be; bel; 2018; 334098041875.3998; 27921127206.98405; 35055910956.01466; 63697418541.42445; 84248367509.13612; 123175217661.8405;
Belgium; be; bel; 2019; 351931810239.4501; 29313707805.58718; 35079324457.95216; 67796058967.49429; 90098776477.59358; 129643942530.8229;
Belgium; be; bel; 2020; 357268843231.3004; 30046658507.86707; 37193782360.10482; 68642313078.47824; 92672790844.8727; 128713298439.9776;
Belgium; be; bel; 2021; 383823001630.4315; 30618907875.77711; 40364102256.16206; 71494725649.98325; 100234694787.9328; 141110571060.5762;
Brazil; br; bra; 1981; 10.53386001811606; .5344081586123244; .8186363509133496; 1.316514393379357; 2.187050970617353; 5.677250144593671;
Brazil; br; bra; 1982; 21.71290468975028; 1.135532012863149; 1.668445657856424; 2.676072665139316; 4.432607741007978; 11.80024661288341;
Brazil; br; bra; 1983; 45.70862932990749; 2.448159562656214; 3.43524586875003; 5.511359655824869; 9.318254224809635; 24.99561001786674;
Brazil; br; bra; 1984; 132.8774716698764; 7.608506726761068; 10.57482444788414; 16.4689521108123; 27.32284092070211; 70.90234746371675;
Brazil; br; bra; 1985; 515.5260402687566; 28.29282157338047; 39.86726043033036; 62.7803014046749; 105.5269062494935; 279.0587506108773;
Brazil; br; bra; 1986; 1487.130209315609; 74.11593813773119; 110.9868232929075; 184.358565962395; 302.2957897594279; 815.3730921631477;
Brazil; br; bra; 1987; 4645.966239837266; 216.2883020043142; 343.6337214794567; 585.221201768597; 970.3763369409535; 2530.446677643944;
Brazil; br; bra; 1988; 35876.78789271801; 1723.151054000329; 2475.409145570726; 4132.380845421954; 6973.315793291666; 20572.53105443333;
Brazil; br; bra; 1989; 578721.5365017895; 27402.45118703603; 35264.73620511271; 62142.71473730111; 109917.2995377886; 343994.334834551;
Brazil; br; bra; 1990; 15151142.01563953; 742869.2418451094; 1008489.458790597; 1733080.660499521; 3047956.815142997; 8618745.83936131;
Brazil; br; bra; 1992; 829824816.2614813; 47213405.83086282; 62923505.65748078; 103252182.8265294; 169767921.3128717; 446667800.6337366;
Brazil; br; bra; 1993; 18114511160.66537; 1026879318.223011; 1339008117.186945; 2105494218.595715; 3448018676.110794; 10195110830.5489;
Brazil; br; bra; 1995; 697233181451.2222; 38655965526.84381; 46777735090.13275; 80560743374.05664; 139877397580.1875; 391361339880.0015;
Brazil; br; bra; 1996; 824310176398.2504; 44005736390.01646; 56214016899.5202; 96245909233.68616; 168131548729.9543; 459712965145.0732;
Brazil; br; bra; 1997; 866505577377.8625; 50195606994.57367; 59893196873.76392; 101447947225.194; 170603829178.3638; 484364997105.9673;
Brazil; br; bra; 1998; 912482905188.7123; 58744264582.17863; 63841665181.40302; 107263288654.0095; 177539172381.0239; 505094514390.0972;
Brazil; br; bra; 1999; 918352060527.5983; 63065861470.5462; 67959100038.75519; 109162784382.1531; 181108466759.2859; 497055847876.8579;
Brazil; br; bra; 2001; 1136561013560.125; 83293343282.20639; 90444105561.82788; 139063415061.8113; 223156407974.3013; 600603741679.9785;
Brazil; br; bra; 2002; 1271113354710.647; 97119513732.04231; 103008395825.9961; 155619987646.4673; 246051093476.7783; 669314364029.3633;
Brazil; br; bra; 2003; 1401375523992.528; 111873555115.3201; 120255248838.2665; 175340335367.1414; 274154462330.2148; 719751922341.585;
Brazil; br; bra; 2004; 1539900421710.902; 123397824744.4232; 133509175988.296; 200343206680.374; 303282689670.4546; 779367524627.3545;
Brazil; br; bra; 2005; 1764513403836.729; 143899047561.337; 161502098168.9421; 228364951118.22; 349427838887.6006; 881319468100.6299;
Brazil; br; bra; 2006; 2002903032641.855; 164020639152.0326; 190442688151.9739; 255417868177.5117; 393110571706.5117; 999911265453.8252;
Brazil; br; bra; 2007; 2166097628672.897; 178089228109.7594; 210027313333.7979; 280977494261.9058; 429711626557.2515; 1067291966410.183;
Brazil; br; bra; 2008; 2432041729268.345; 198531726659.8911; 237825045089.481; 324291177852.521; 486821968561.9185; 1184571811104.533;
Brazil; br; bra; 2009; 2644579606135.13; 221285505833.5504; 257730791663.4475; 356481141220.499; 533487736813.3364; 1275594430604.297;
Brazil; br; bra; 2011; 3177390548303.921; 267373474637.5658; 316136301043.0426; 434411791420.0127; 638379007355.5186; 1521089973847.781;
Brazil; br; bra; 2012; 3610770847149.654; 304859690078.4789; 365171362859.8086; 497350236737.3438; 737088818614.4131; 1706300738859.609;
Brazil; br; bra; 2013; 3972862845798.554; 337224300068.2387; 403118763875.4387; 544289777778.8179; 816458785342.6016; 1871771218733.457;
Brazil; br; bra; 2014; 4362513866582.105; 383063542193.6824; 453113247876.8523; 595319317476.0044; 896903285502.2773; 2034114473533.289;
Brazil; br; bra; 2015; 4520029066751.357; 418419109187.5624; 467340643443.6161; 607775145837.4951; 936499021785.8984; 2089995146496.785;
Brazil; br; bra; 2016; 4659349418031.337; 388081485724.9011; 463554668997.3161; 642187224606.9792; 955597394766.5137; 2209928643935.626;
Brazil; br; bra; 2017; 5056142135862.808; 410369556420.5593; 473510219230.5846; 690235070390.4762; 1021944710782.552; 2460082579038.635;
Brazil; br; bra; 2018; 5234720553610.729; 424654990555.853; 484463964144.4536; 733332764681.1416; 1043192295852.495; 2549076538376.787;
Brazil; br; bra; 2019; 5539201104681.767; 457655836268.0146; 510764490165.8483; 768228825892.7526; 1116286371766.168; 2686265580588.983;
Brazil; br; bra; 2020; 5776885080316.546; 547451124468.8188; 546487405308.156; 813098506468.361; 1141170722689.566; 2728677321381.644;
Brazil; br; bra; 2021; 5809950334862.557; 495932651876.5274; 546086598422.9778; 786786866913.8749; 1181142298831.735; 2800001918817.442;
Brazil; br; bra; 2022; 6723597443311.386; 561073424442.6001; 659728981043.3645; 951635236363.8088; 1376427757966.74; 3174732043494.872;
Canada; ca; can; 1971; 90266065418.1015; 3360192173.165283; 10939687978.11249; 19343257525.19531; 24104406551.74072; 32518521189.8877;
Canada; ca; can; 1973; 113236404501.6769; 4277241389.98951; 14247367143.96118; 23437450691.53241; 30263517246.76514; 41010828029.42871;
Canada; ca; can; 1975; 160062616309.2809; 6261424589.592743; 18962575202.38098; 33072555631.75049; 42561459154.27734; 59204601731.2793;
Canada; ca; can; 1977; 200629153169.8269; 7864552104.372816; 23930090239.25537; 42208009670.896; 53607430052.0166; 73019071103.28613;
Canada; ca; can; 1979; 246082835839.2016; 10045200844.28463; 29503036539.95605; 49698013761.01563; 65481463455.47852; 91355121238.4668;
Canada; ca; can; 1981; 335035375052.9227; 15918399652.24194; 41084830658.31592; 68617402128.58105; 86669342467.46643; 122745400146.3174;
