year,ginit,ginim,cim1t,cim5t,cim1m,cim5m
2008,.4281353920378712 ,.4656904405539495 ,.1507446103987561 ,.1492196406466942 ,.1355997452678143 ,.1346433446666516
2009,.4261972373072936 ,.4630277262835472 ,.1194420893973937 ,.1285607973334126 ,.1089078296600745 ,.1165459154262719
2010,.4070422752742291 ,.4455482842419614 ,.0972980408558632 ,.112814651117988 ,.084622532463732 ,.0997457785805961
2011,.4139558755319839 ,.4526435196621578 ,.1184732517325309 ,.1262862449781378 ,.1034068742263308 ,.1133399083453403
2012,.4174665731020613 ,.4560613183422259 ,.1152083960747112 ,.1207121633984884 ,.0973823445680567 ,.1043758975696771
2013,.414612754359717 ,.4570106765998931 ,.0967713841978068 ,.1111857991143518 ,.0800072012089162 ,.0945963246019377
2014,.4197411983710459 ,.4654991461268967 ,.0901625911863382 ,.119313631354363 ,.0692571768650257 ,.1011431379566502
2015,.4236487612293718 ,.4731725925265863 ,.1003414541609066 ,.1134352419335345 ,.0810610262354748 ,.0947732008776788
2016,.4129642940992451 ,.4628681914901029 ,.121073240466377 ,.1472603917515485 ,.1067651473408744 ,.1334676247197804
2017,.4090538709079954 ,.4603882398609231 ,.1181689591915251 ,.1403688822715301 ,.1034792540404331 ,.1242262662677116
